Depmap ID,"RNAi (Achilles, DEMETER2)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000910,-1.1469987189685447,MDAMB453,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.386121156814855,Other
ACH-000909,-1.0733068652981848,JHUEM2,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.602587527342561,Other
ACH-000907,-0.6165263849533398,SNU349,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,5.033863451866284,Other
ACH-000906,-1.0130955546293217,ES2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.743622676067655,Other
ACH-000901,-0.6165903194565379,HCC1359,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.805292455600712,Other
ACH-000900,-0.8467965454834726,NCIH23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.46532151358055,Other
ACH-000563,-0.9145637186799863,EBC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.635464198167884,Other
ACH-000898,-0.973727048654263,SNU719,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.133810091106031,Other
ACH-000890,-0.7793553129934087,SW1271,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.431622959713292,Other
ACH-000889,-1.0019207801152517,KMM1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.257764968571387,Other
ACH-000887,-0.9364200823282951,SF172,Diffuse Glioma,CNS/Brain,Diffuse Glioma,4.711494906650088,Other
ACH-000886,-0.9783647711777114,NCIH2009,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.445263208140443,Other
ACH-000885,-0.7286707832913122,TOV21G,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.904002316283692,Other
ACH-000884,-1.1177125669788068,MDAMB435S,Melanoma,Skin,Melanoma,4.393004256898322,Other
ACH-000883,-0.9974233852060534,SW1783,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.122258567811998,Other
ACH-000882,-1.2457113403030058,IGR1,Melanoma,Skin,Melanoma,4.657068301201576,Other
ACH-000881,-0.8214327745119837,MELJUSO,Melanoma,Skin,Melanoma,5.02768487693716,Other
ACH-000880,-0.9429408804985636,AGS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.355439197248685,Other
ACH-000878,-0.9884431406520072,HCC15,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.111448698487674,Other
ACH-000876,-0.9547458645052493,MDAMB415,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.17192735435346,Other
ACH-000874,-0.942839974585938,RS411,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,3.6507645591169022,Other
ACH-000201,-0.8256460672087562,A204,Rhabdoid Cancer,Kidney,Rhabdoid Cancer,4.655924213083815,Other
ACH-000238,-1.0756199588875932,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.199672344836364,Other
ACH-000237,-0.7568373074143763,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.177917792195843,Other
ACH-000236,-1.0307639129066362,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.659924558402379,Other
ACH-000234,-1.0227217853229924,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.888012585402829,Other
ACH-000232,-0.9822564239890497,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.415150205426387,Other
ACH-000231,-0.7986757082128484,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.604960869503778,Other
ACH-000223,-1.1580495910890432,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.091276694365222,Other
ACH-000222,-0.815427833744344,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,4.850999394716474,Other
ACH-000219,-0.792846518737246,A375,Melanoma,Skin,Melanoma,5.499845887083206,Other
ACH-000216,-0.7667181173150933,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.911212201558612,Other
ACH-000215,-1.1542425658409732,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.659068274843228,Other
ACH-000212,-1.1099724144800747,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.510329019490572,Other
ACH-000210,-0.9235606561230475,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma,4.687620632084895,Other
ACH-000208,-0.9050839444697614,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.357903838552492,Other
ACH-000206,-0.9278423230085971,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,4.663913842115978,Other
ACH-000239,-0.992968095568291,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.59215800212536,Other
ACH-000192,-1.492552026845832,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,3.84799690655495,Other
ACH-000183,-0.9936674335115723,L363,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,6.910492832288714,Other
ACH-000178,-0.9068695063096136,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.323370069061268,Other
ACH-000177,-0.7083137477142715,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma,5.7636771418966,Other
ACH-000176,-0.803872284335171,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.113117036390723,Other
ACH-000172,-0.8789009850416053,TM87,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,5.053111336459563,Other
ACH-000170,-0.808316563934403,PRECLH,Non-Cancerous,Prostate,Non-Cancerous,5.388189537156084,Other
ACH-000169,-1.0875587355937044,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.775050541483175,Other
ACH-000168,-0.9584672870486236,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.7824085649273735,Other
ACH-000161,-1.1397274553454686,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.474436043252266,Other
ACH-000160,-0.5983238600623705,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.805808348701467,Other
ACH-000159,-0.5691080825782197,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,5.0716768737518585,Other
ACH-000157,-0.8691960061862639,A4FUK,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.498250867527825,Other
ACH-000153,-1.0741758814618871,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,4.854993016757,Other
ACH-000276,-0.9431463806445203,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.134220939760634,Other
ACH-001192,-0.8490287148848046,SKNEP1,Ewing Sarcoma,Bone,Ewing Sarcoma,5.533563348214512,Other
ACH-000304,-1.1014861515290564,WM115,Melanoma,Skin,Melanoma,4.580748491763774,Other
ACH-000303,-1.0875702741993407,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.469234793667656,Other
ACH-000301,-0.8941081860222087,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,5.292781749227846,Other
