gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TMEM177	381.8819	-0.51	0.1656	0.0011	0.0032
TMEM178A	0.2357	-0.0178	0.6023	0.8067	NA
TMEM178B	373.2361	0.384	0.163	0.0128	0.0294
TMEM179B	414.8112	-0.0179	0.1584	0.9057	0.9402
TMEM18	354.7395	0.0493	0.1767	0.7662	0.8461
TMEM180	73.5475	-0.717	0.3334	0.0064	0.0159
TMEM181	833.8011	-1.0463	0.1182	0	0
TMEM182	86.8555	-0.6414	0.3098	0.0109	0.0254
TMEM183A	1030.1471	0.3627	0.1092	7e-04	0.002
TMEM183B	8.5579	0.228	0.5195	0.3352	0.4648
TMEM184A	636.1745	-0.2957	0.1292	0.018	0.0397
TMEM184B	1194.71	-0.297	0.0991	0.0022	0.0061
TMEM184C	772.8078	0.1944	0.117	0.0878	0.1582
TMEM185A	276.0497	0.2063	0.187	0.236	0.3544
TMEM185B	1742.2338	0.442	0.0872	0	0
TMEM186	203.5097	-0.0175	0.2113	0.9277	0.9551
TMEM187	50.5635	-2.2107	0.5576	0	0
TMEM189	659.9088	0.0965	0.1236	0.4206	0.5513
TMEM189-UBE2V1	32.2281	0.1374	0.6147	0.0731	0.1355
TMEM19	698.7259	0.0961	0.1246	0.4263	0.5565
TMEM190	1.4366	0.0514	0.5862	0.6821	NA
TMEM191A	40.3567	-0.1412	0.3811	0.6003	0.7157
TMEM191B	8.6242	-0.0424	0.5007	0.8571	0.9094
TMEM191C	18.5891	0.0832	0.4433	0.7529	0.8366
TMEM192	720.7336	0.0849	0.1195	0.4646	0.5928
TMEM194A	1184.7306	-1.375	0.1024	0	0
TMEM194B	138.0112	-0.9243	0.2818	1e-04	3e-04
TMEM198	56.579	-0.9509	0.3926	0.001	0.0028
TMEM198B	108.4789	-1.0462	0.3288	1e-04	2e-04
TMEM199	469.4701	0.3789	0.145	0.0064	0.0158
TMEM2	2144.9463	0.0973	0.0825	0.2317	0.3496
TMEM200A	2600.8314	0.5613	0.0744	0	0
TMEM200B	56.6261	-0.7422	0.3674	0.0072	0.0176
TMEM201	1312.0439	0.6558	0.0993	0	0
TMEM203	1063.1821	0.5361	0.1039	0	0
TMEM204	2.0153	-0.0318	0.5735	0.8317	NA
TMEM205	301.5572	0.0147	0.1754	0.9287	0.9558
TMEM206	223.1664	0.2818	0.2066	0.1362	0.2278
TMEM208	883.9848	0.3811	0.121	0.0012	0.0034
TMEM209	688.2847	0.0573	0.1213	0.6268	0.7369
TMEM211	0.5257	0.0057	0.6003	0.9428	NA
TMEM213	0.2353	-0.0177	0.6023	0.8071	NA
TMEM214	1794.6812	-0.1073	0.0851	0.201	0.3125
TMEM216	184.9383	0.1473	0.2232	0.4643	0.5925
TMEM217	17.8355	-0.1841	0.4546	0.4856	0.6132
TMEM218	101.1033	-1.5879	0.3447	0	0
TMEM219	814.0153	0.0854	0.1131	0.4386	0.5686
TMEM220	2.2097	0.1206	0.5846	0.4022	NA
TMEM221	98.6637	-1.0059	0.3139	1e-04	3e-04
TMEM222	421.0421	-0.935	0.1585	0	0
TMEM223	155.6064	-1.8428	0.2838	0	0
TMEM229B	14.4254	-1.0427	0.7587	0.0013	0.0036
TMEM230	1070.9187	0.0522	0.1021	0.6023	0.7173
TMEM231	93.8568	-0.2861	0.2804	0.2267	0.3437
TMEM232	0.5395	0.0059	0.6001	0.9414	NA
TMEM234	79.0303	-0.2222	0.2998	0.3668	0.4974
TMEM236	4.6919	-0.354	0.6307	0.0427	0.0852
TMEM237	540.4614	-0.2018	0.136	0.1238	0.2106
TMEM238	808.2136	0.0508	0.1166	0.6546	0.76
TMEM240	2.4129	-0.1074	0.5807	0.4671	NA
TMEM241	132.8495	-1.4386	0.3038	0	0
TMEM242	248.1138	-0.0231	0.1949	0.8983	0.9353
TMEM243	183.257	-1.4037	0.2475	0	0
TMEM245	2087.3273	-0.081	0.0777	0.291	0.417
TMEM246	240.0415	0.2459	0.1946	0.1719	0.2755
TMEM248	1796.8372	0.1078	0.0864	0.2051	0.3173
TMEM249	5.0518	-0.3425	0.6039	0.0805	0.147
TMEM25	84.6431	-0.7911	0.3167	0.002	0.0054
TMEM251	302.663	0.3225	0.1804	0.056	0.1079
TMEM253	2.6227	0.1302	0.578	0.4093	NA
TMEM254	75.0431	-0.3721	0.3136	0.141	0.2342
TMEM254-AS1	4.5714	-0.493	0.6975	0.0066	0.0164
TMEM255A	0.7708	-0.019	0.5947	0.8486	NA
TMEM255B	58.33	0.1048	0.3276	0.6836	0.7831
TMEM256	345.3943	0.4594	0.1688	0.0039	0.01
TMEM258	947.9236	0.2559	0.106	0.0136	0.0309
