gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC16A13	52.4796	-0.0437	0.1793	0.4951	NA
SLC16A14	20.5241	0.028	0.1899	0.4996	NA
SLC16A2	84.9587	0.0051	0.1706	0.9459	0.9768
SLC16A3	6877.1685	-0.0627	0.0656	0.3071	0.5407
SLC16A4	34.2712	-0.0416	0.1854	0.4345	NA
SLC16A5	258.0542	0.1199	0.1475	0.1959	0.4125
SLC16A6	9.3067	0.0408	0.1968	0.1966	NA
SLC16A7	50.9942	-0.0185	0.1785	0.773	NA
SLC16A8	2.7335	0.0178	0.2023	0.222	NA
SLC16A9	0.4271	-0.0039	0.2016	0.6402	NA
SLC17A5	1292.9629	-0.0175	0.0926	0.8274	0.915
SLC17A7	0.695	0.0061	0.2015	0.51	NA
SLC17A9	1432.5002	-0.0285	0.0991	0.7346	0.8641
SLC18A2	165.0535	-0.0284	0.156	0.7466	0.8709
SLC18B1	136.7277	-0.0462	0.1605	0.5882	0.7704
SLC19A2	429.7424	0.1262	0.1316	0.1801	0.393
SLC19A3	3.263	0.0067	0.1963	0.7336	NA
SLC1A1	45.6531	0.0315	0.1818	0.5928	NA
SLC1A2	1.4687	0.0101	0.1999	0.4406	NA
SLC1A3	79.9278	-0.0325	0.1732	0.653	0.8131
SLC1A4	344.2482	0.0648	0.1364	0.4904	0.7018
SLC1A5	5693.5597	-0.0699	0.0563	0.1926	0.409
SLC1A7	1.3426	-0.0116	0.2029	0.2878	NA
SLC20A1	7096.457	-0.1282	0.0538	0.0127	0.0641
SLC20A2	665.3567	0.0376	0.1129	0.6759	0.8272
SLC22A1	0.5346	-0.0044	0.2017	0.5973	NA
SLC22A13	1.4107	0.0119	0.2028	0.2843	NA
SLC22A14	0.4278	-0.0039	0.2016	0.6398	NA
SLC22A15	59.3065	0.1174	0.1844	0.0863	NA
SLC22A18	61.6951	-0.0315	0.1823	0.5862	NA
SLC22A18AS	0.2132	-0.0024	0.2013	0.7682	NA
SLC22A2	0.8305	0.0064	0.2018	0.4806	NA
SLC22A20	4.995	-0.0044	0.1946	0.8579	NA
SLC22A23	103.8594	0.0543	0.1688	0.4875	0.6994
SLC22A3	85.8337	0.0994	0.1735	0.1918	0.4082
SLC22A31	8.8269	-8e-04	0.1923	0.9792	NA
SLC22A4	137.5612	-0.0555	0.1617	0.5115	0.7153
SLC22A5	461.8588	-0.0648	0.1249	0.4869	0.699
SLC23A1	2.3103	0.0089	0.1978	0.5836	NA
SLC23A2	1120.2051	-0.0575	0.0966	0.487	0.699
SLC23A3	3.9064	-0.0019	0.1957	0.926	NA
SLC24A1	167.9342	0.1041	0.1576	0.2387	0.4669
SLC24A2	1.9503	0.0211	0.2064	0.1302	NA
SLC24A3	1.2465	0.0105	0.2025	0.3242	NA
SLC24A5	0.6946	0.0061	0.2015	0.5104	NA
SLC25A1	1416.7918	-0.211	0.089	0.0069	0.0408
SLC25A10	1455.2976	-0.2527	0.0879	0.0011	0.01
SLC25A11	820.5167	-0.1064	0.1076	0.2268	0.4535
SLC25A12	297.1624	-0.0175	0.1397	0.8511	0.9286
SLC25A13	1007.6739	0.0324	0.0991	0.7001	0.841
SLC25A14	96.1576	0.0538	0.1693	0.4882	0.7001
SLC25A15	684.2234	0.0846	0.1129	0.3476	0.5783
SLC25A16	267.6362	0.1262	0.1465	0.175	0.3847
SLC25A17	478.6346	0.1082	0.1238	0.2451	0.4741
