GO-term,Cellular Component (Gene Ontology),Count in Network,Strength,Signal,FDR
GO:0006259,DNA metabolic process,29 of 785,0.45,0.65,0.00014
GO:0010948,Negative regulation of cell cycle process,15 of 272,0.63,0.65,0.00070
GO:0034063,Stress granule assembly,5 of 24,1.2,0.65,0.0032
GO:0033365,Protein localization to organelle,27 of 713,0.46,0.64,0.00020
GO:0031323,Regulation of cellular metabolic process,122 of 5681,0.22,0.63,1.91E-07
GO:0045892,"Negative regulation of transcription, DNA-templated",41 of 1322,0.38,0.63,6.99E-05
GO:0022613,Ribonucleoprotein complex biogenesis,20 of 449,0.53,0.63,0.00046
GO:0045934,Negative regulation of nucleobase-containing compound metabolic process,46 of 1562,0.35,0.62,5.28E-05
GO:0051321,Meiotic cell cycle,14 of 250,0.63,0.62,0.0011
GO:0051302,Regulation of cell division,12 of 188,0.69,0.62,0.0014
GO:2001252,Positive regulation of chromosome organization,9 of 107,0.81,0.62,0.0022
GO:0034728,Nucleosome organization,11 of 162,0.72,0.61,0.0018
GO:2001251,Negative regulation of chromosome organization,8 of 84,0.86,0.61,0.0027
GO:0000281,Mitotic cytokinesis,8 of 84,0.86,0.61,0.0027
GO:0006356,Regulation of transcription by RNA polymerase I,6 of 43,1.03,0.61,0.0037
GO:0048522,Positive regulation of cellular process,118 of 5584,0.21,0.6,1.11E-06
GO:0006261,DNA-templated DNA replication,10 of 137,0.75,0.6,0.0024
GO:0031324,Negative regulation of cellular metabolic process,59 of 2265,0.3,0.59,4.82E-05
GO:0006406,mRNA export from nucleus,7 of 65,0.92,0.59,0.0038
GO:0044085,Cellular component biogenesis,67 of 2702,0.28,0.58,3.49E-05
GO:0010605,Negative regulation of macromolecule metabolic process,68 of 2760,0.28,0.58,3.49E-05
GO:0051253,Negative regulation of RNA metabolic process,42 of 1434,0.35,0.58,0.00016
GO:0065004,protein-DNA complex assembly,13 of 229,0.64,0.58,0.0019
GO:0010556,Regulation of macromolecule biosynthetic process,89 of 3980,0.23,0.57,1.74E-05
GO:0042254,Ribosome biogenesis,15 of 299,0.58,0.57,0.0017
GO:0034508,Centromere complex assembly,5 of 29,1.12,0.57,0.0064
GO:0031445,Regulation of heterochromatin assembly,5 of 29,1.12,0.57,0.0064
GO:0019222,Regulation of metabolic process,134 of 6784,0.18,0.56,2.11E-06
GO:0010468,Regulation of gene expression,104 of 4899,0.21,0.56,1.06E-05
GO:0071824,protein-DNA complex subunit organization,14 of 268,0.6,0.56,0.0021
GO:0045842,Positive regulation of mitotic metaphase/anaphase transition,4 of 15,1.31,0.56,0.0078
GO:0031453,Positive regulation of heterochromatin assembly,4 of 15,1.31,0.56,0.0078
GO:0060255,Regulation of macromolecule metabolic process,125 of 6249,0.19,0.55,5.07E-06
GO:0048518,Positive regulation of biological process,124 of 6207,0.19,0.55,6.45E-06
GO:1901976,Regulation of cell cycle checkpoint,6 of 49,0.97,0.55,0.0066
GO:0000398,"mRNA splicing, via spliceosome",13 of 245,0.61,0.54,0.0032
GO:0051225,Spindle assembly,8 of 96,0.81,0.54,0.0056
GO:0031325,Positive regulation of cellular metabolic process,72 of 3114,0.25,0.53,0.00012
GO:0040029,"Regulation of gene expression, epigenetic",9 of 123,0.75,0.53,0.0051
GO:0009889,Regulation of biosynthetic process,90 of 4205,0.21,0.52,7.91E-05
GO:0042273,Ribosomal large subunit biogenesis,7 of 74,0.86,0.52,0.0074
GO:0051252,Regulation of RNA metabolic process,82 of 3759,0.22,0.51,0.00014
GO:0009892,Negative regulation of metabolic process,69 of 2982,0.25,0.51,0.00019
GO:1903046,Meiotic cell cycle process,11 of 188,0.65,0.51,0.0053
GO:0031056,Regulation of histone modification,11 of 188,0.65,0.51,0.0053
GO:0045943,Positive regulation of transcription by RNA polymerase I,5 of 33,1.06,0.51,0.0100
GO:0019219,Regulation of nucleobase-containing compound metabolic process,87 of 4074,0.21,0.5,0.00014
GO:0000956,Nuclear-transcribed mRNA catabolic process,8 of 103,0.77,0.5,0.0082
