gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
GALK1	720.155	0.9747	0.2555	1e-04	3e-04
GALK2	163.7361	0.5269	0.3557	0.1048	0.1936
GALM	246.0092	0.6636	0.3272	0.0285	0.0656
GALNS	535.4306	1.0506	0.2534	0	1e-04
GALNT1	2823.3467	0.3293	0.2465	0.1634	0.2768
GALNT10	5626.0802	0.3265	0.1884	0.0758	0.1485
GALNT11	900.5689	0.343	0.2309	0.1232	0.2207
GALNT12	218.46	0.8748	0.3353	0.0046	0.0136
GALNT13	161.3405	0.532	0.3759	0.1171	0.2118
GALNT14	69.2265	0.649	0.4952	0.1154	0.2093
GALNT15	0.4655	-0.0829	0.9483	0.6512	NA
GALNT16	1.2015	-0.1757	0.9456	0.3938	NA
GALNT18	687.6313	1.0639	0.2586	0	1e-04
GALNT2	6705.6942	0.9204	0.2067	0	0
GALNT3	485.2088	-0.8343	0.2954	0.0026	0.0083
GALNT4	544.5516	0.3495	0.2707	0.174	0.2912
GALNT5	711.0043	0.5346	0.2391	0.0199	0.0483
GALNT6	1453.9644	0.8814	0.2135	0	1e-04
GALNT7	1555.6463	0.3276	0.2443	0.1621	0.2749
GALNT9-2	0.5314	0.0082	0.9479	0.9638	NA
GALR2	5.137	0.1514	0.8443	0.6904	0.7921
GALR3	0.2311	-0.046	0.9484	0.7982	NA
GALT	351.5358	0.8584	0.2955	0.002	0.0064
GAMT	1038.1156	1.3401	0.2734	0	0
GAN	76.7405	-0.7538	0.4734	0.0601	0.1226
GANAB	20464.8681	1.1023	0.1977	0	0
GANC	272.3653	0.5874	0.3023	0.0381	0.084
GAPDH	112292.6683	1.1621	0.2004	0	0
GAPDHS	7.4938	0.0365	0.8096	0.9289	0.9567
GAPVD1	1263.0782	-1.1603	0.2273	0	0
GAR1	684.5036	-0.2888	0.2572	0.2398	0.3724
GAREM	33.3425	-1.472	0.7158	0.0028	0.0087
GAREML	48.2489	0.7669	0.5491	0.0792	0.154
GARNL3	35.9806	-0.3806	0.5833	0.3937	0.5398
GARS	7494.6473	0.2829	0.1834	0.1144	0.2078
GART	4153.1344	0.1692	0.2071	0.4	0.5462
GAS2	2.6965	0.1706	0.8994	0.5791	NA
GAS2L1	1987.8587	0.3098	0.2407	0.1802	0.2991
GAS2L2	0.2312	-0.046	0.9484	0.7981	NA
GAS2L3	430.0092	-2.1783	0.3439	0	0
GAS5	533.5741	-0.52	0.2567	0.0338	0.0759
GAS5-AS1	3.7938	-0.0666	0.8679	0.8493	0.9044
GAS6	14043.3566	1.0211	0.2068	0	0
GAS6-AS1	3.3233	0.2132	0.9031	0.4843	0.6267
GAS6-AS2	130.6468	0.1274	0.3869	0.7139	0.8116
GAS7	24.247	1.0218	0.7346	0.0321	0.0727
GAS8	543.3416	0.2293	0.293	0.406	0.5518
GATA2	176.9392	-1.442	0.3696	0	1e-04
GATA3	232.6238	-1.7827	0.372	0	0
GATA3-AS1	16.4037	0.9073	0.7643	0.0528	0.11
GATA6	664.8105	-1.805	0.2823	0	0
GATA6-AS1	19.7047	0.1703	0.6833	0.7092	0.8076
GATAD1	463.1212	-0.7985	0.2766	0.0023	0.0073
GATAD2A	5274.1546	-0.2736	0.1881	0.1361	0.2393
GATAD2B	529.8739	-2.2245	0.2647	0	0
GATC	1340.3891	-0.6545	0.2122	0.0014	0.0049
GATM	1.5951	0.0144	0.9325	0.9497	NA
GATS	111.8118	0.1633	0.3997	0.6465	0.7613
GATSL2	36.96	0.1278	0.6093	0.777	0.8559
GATSL3	36.9761	-1.0243	0.6201	0.0269	0.0625
GBA	4641.3725	0.9496	0.2047	0	0
GBA2	675.0267	-1.0881	0.269	0	1e-04
GBAP1	97.8089	0.4801	0.4775	0.2335	0.3651
GBAS	1007.1715	0.2751	0.2638	0.2737	0.412
GBE1	2496.993	0.6695	0.2039	7e-04	0.0027
GBF1	2993.8917	0.0764	0.1929	0.6845	0.7876
GBGT1	35.6739	-0.4573	0.593	0.3089	0.4515
GBP1	1262.8275	0.1403	0.2154	0.5014	0.6415
GBP2	756.8278	1.0437	0.2378	0	0
GBP3	1383.3211	-0.3743	0.2275	0.088	0.168
GBP4	165.6519	-0.0558	0.3859	0.8721	0.92
GBP5	81.0494	0.1219	0.4479	0.7524	0.8393
GBP6	0.8198	-0.0476	0.9474	0.7957	NA
GCA	201.3202	0.2979	0.3327	0.3328	0.4769
GCAT	206.1265	1.1504	0.3812	8e-04	0.0029
GCC1	762.5436	0.1566	0.2432	0.5022	0.642
GCC2	504.1902	-1.2321	0.321	0	2e-04
GCDH	547.8857	0.8109	0.2923	0.0032	0.0097
GCFC2	553.3121	0.2998	0.2509	0.2119	0.339
GCG	2.6545	0.3525	0.9443	0.1569	NA
GCH1	234.6706	-0.0351	0.319	0.9058	0.942
GCHFR	115.5574	1.3222	0.4448	6e-04	0.0023
GCKR	34.8735	-0.3441	0.5937	0.4432	0.5882
GCLC	249.1727	-1.3083	0.3267	0	1e-04
GCLM	1434.9498	-0.5627	0.2296	0.011	0.0289
GCM1	1.0054	-0.0653	0.9406	0.7517	NA
GCN1L1	6959.2016	0.6531	0.2051	0.001	0.0037
GCNT1	548.0519	-2.4954	0.2936	0	0
GCNT2	1321.9135	-0.434	0.2182	0.0398	0.0871
GCNT3	1.5024	-0.1154	0.9379	0.5976	NA
GCNT4	0.717	-0.1098	0.949	0.5525	NA
GCNT7	2.6715	0.313	0.9245	0.2619	NA
GCOM1	2.5429	-0.3253	0.943	0.184	NA
GCSAM	7.4139	-0.7517	0.8977	0.0539	0.1119
GCSH	687.8752	0.6315	0.2519	0.0087	0.0238
GCSHP3	37.8495	-0.3939	0.5729	0.3742	0.5201
GDA	1.4081	-0.0503	0.9365	0.8174	NA
GDAP1	211.5181	0.0773	0.3326	0.8016	0.8722
GDAP1L1	0.2368	-0.0471	0.9485	0.7935	NA
GDAP2	259.1812	-0.0936	0.3563	0.7737	0.8539
GDE1	2114.951	0.491	0.2063	0.0142	0.036
GDF1	2.6819	-0.2597	0.9289	0.3198	NA
GDF10	0.724	0.1163	0.9493	0.5289	NA
GDF11	478.538	0.8034	0.2797	0.0024	0.0076
GDF15	227.8827	0.7958	0.3263	0.0084	0.023
GDF5	62.3934	0.3007	0.4928	0.464	0.6067
GDF7	4.7913	0.5997	0.957	0.0434	0.0936
GDF9	2.7785	-0.176	0.9099	0.5424	NA
GDI1	6151.7271	0.8895	0.2148	0	1e-04
GDI2	9149.739	0.2407	0.2029	0.2224	0.3517
GDPD1	20.8202	-0.3796	0.7804	0.384	0.5299
GDPD2	1.4561	-0.0559	0.9357	0.7996	NA
GDPD3	10.2717	-0.6502	0.8438	0.12	0.2157
GDPD5	248.6797	0.3362	0.314	0.251	0.3855
GDPGP1	11.0581	-0.7461	0.8194	0.0904	0.1717
GEM	334.0966	-0.5414	0.3065	0.0589	0.1206
GEMIN2	159.8514	-1.1097	0.3688	9e-04	0.0032
GEMIN4	1505.2756	-1.1013	0.2504	0	0
GEMIN5	1288.5069	-0.7388	0.2117	3e-04	0.0013
GEMIN6	198.0686	-0.5941	0.3444	0.0603	0.1229
GEMIN7	360.762	-1.0926	0.2882	1e-04	3e-04
GEMIN8	81.5729	-0.5798	0.4564	0.1385	0.2428
GEMIN8P4	8.8381	-0.0646	0.7871	0.8789	0.9241
GEN1	287.9757	-2.1445	0.3313	0	0
GET4	1274.1148	-0.1454	0.2326	0.5164	0.6553
GFAP	38.3392	-0.0573	0.583	0.8975	0.9371
GFER	510.4703	-0.1872	0.2598	0.45	0.5945
GFI1	8.6949	-0.5465	0.8183	0.1989	0.3231
GFM1	1373.2812	0.0532	0.2334	0.8128	0.8804
GFM2	774.6614	0.4511	0.2464	0.0561	0.1157
GFOD1	158.8305	-0.7993	0.3631	0.0154	0.0387
GFOD2	370.3794	-1.3905	0.2827	0	0
GFPT1	2118.5288	-0.3091	0.2291	0.1617	0.2745
GFPT2	955.2152	-0.2523	0.2395	0.2731	0.4113
GFRA1	2.311	-0.07	0.9123	0.8007	NA
GFRA3	0.532	0.0081	0.9479	0.964	NA
GFY	0.4859	-0.0871	0.9485	0.6351	NA
GGA1	863.72	0.1831	0.2499	0.4442	0.5891
GGA2	1750.4025	-0.2183	0.2089	0.2815	0.421
GGA3	647.6187	-1.0571	0.2726	0	2e-04
GGACT	14.0896	-0.0723	0.7243	0.8723	0.9201
GGCT	1090.4626	-0.1425	0.2504	0.5524	0.6872
GGCX	1729.7394	0.9511	0.212	0	0
GGH	1091.3894	0.7204	0.245	0.0021	0.0069
GGN	10.9627	-0.1681	0.7598	0.7017	0.8022
GGNBP2	917.0367	-2.8943	0.247	0	0
GGPS1	290.9507	-0.1538	0.344	0.6267	0.7458
GGT1	196.6967	1.2964	0.3527	1e-04	3e-04
GGT5	523.3998	0.9353	0.2841	5e-04	0.0019
GGT7	56.4207	0.1824	0.519	0.6662	0.774
GGT8P	1.6424	-0.2517	0.9413	0.2781	NA
GGTLC2	0.2413	0.0563	0.9486	0.7545	NA
GHDC	1082.7805	1.0645	0.2553	0	1e-04
GHITM	7612.9143	0.7456	0.1869	0	2e-04
GHR	0.2883	0.0612	0.9486	0.7344	NA
GHRL	0.4628	-0.0846	0.9484	0.6446	NA
GHRLOS	7.7456	-0.2028	0.8389	0.6008	0.7259
GID4	119.8368	-0.8361	0.4155	0.0224	0.0534
GID8	1761.1673	-0.4337	0.2057	0.0299	0.0682
GIGYF1	1090.8513	-1.3214	0.2333	0	0
GIGYF2	629.147	-1.8543	0.2556	0	0
GIMAP2	0.7062	-0.109	0.9489	0.5551	NA
GIMAP6	0.243	-0.0474	0.9484	0.7924	NA
GIMAP8	5.1721	-0.2207	0.848	0.5609	0.6942
GIN1	45.6945	-0.4174	0.5605	0.3421	0.4867
GINM1	822.2677	0.516	0.2474	0.0295	0.0674
GINS1	1061.2541	0.0178	0.2675	0.9441	0.9661
GINS2	739.7428	0.6278	0.2378	0.006	0.0171
GINS3	240.2559	-1.7948	0.3426	0	0
GINS4	1402.9406	0.6426	0.2197	0.0025	0.0078
GIPC1	5787.2246	0.7384	0.2154	4e-04	0.0016
GIPC2	1.8161	0.2123	0.9302	0.3971	NA
GIPC3	0.2312	-0.046	0.9484	0.7981	NA
GIPR	6.3439	-0.6922	0.9281	0.0484	0.1023
GIT1	2020.7808	-0.061	0.2278	0.7815	0.8589
GIT2	1310.1099	-1.077	0.2212	0	0
GJA1	255.9444	0.0104	0.3159	0.9718	0.9824
GJA3	182.8198	-0.3681	0.3609	0.263	0.3994
GJA9-MYCBP	6.4037	0.1669	0.8327	0.6703	0.7773
GJB2	568.1714	0.1068	0.2489	0.6543	0.767
GJB3	38.1318	-1.3248	0.6386	0.0051	0.0148
GJB4	0.2887	0.0613	0.9486	0.734	NA
GJB5	0.487	-0.0873	0.9485	0.6344	NA
GJC1	13.5211	0.8292	0.8047	0.0673	0.1341
GJC2	29.731	0.4639	0.6164	0.3076	0.4503
GJC3	1.2275	-0.0235	0.9341	0.9162	NA
GJD3	148.7588	0.7237	0.3748	0.0325	0.0734
GJD4	5.7255	0.2824	0.8403	0.4694	0.612
GK	124.9404	0.3468	0.3895	0.3206	0.464
GK3P	0.4866	-0.0872	0.9485	0.6347	NA
GK5	203.4922	-0.5499	0.3503	0.0865	0.1655
GKAP1	51.7007	-0.9427	0.5926	0.0378	0.0836
GKN1	0.243	-0.0474	0.9484	0.7924	NA
GKN2	45.3247	1.0732	0.5736	0.0168	0.0416
GLA	987.4778	0.5345	0.2236	0.0133	0.0339
GLB1	2446.0899	0.8935	0.2048	0	0
GLB1L	215.4075	0.7344	0.3382	0.0184	0.045
GLB1L2	316.2106	0.9018	0.3243	0.0027	0.0084
