gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SBSN	12.2877	1.2109	0.8737	0.009	0.0243
SCAF11	1201.122	-2.0698	0.2558	0.0	0.0
SCAF4	788.2982	-2.3638	0.2811	0.0	0.0
SCAF8	971.6815	-1.4142	0.2262	0.0	0.0
SCAND2P	71.9694	-1.2793	0.4992	0.0021	0.0069
SCARB1	2876.8833	1.1175	0.2268	0.0	0.0
SCHIP1	27.9413	-4.0132	2.6131	0.0	0.0
SCML2	67.1533	-1.6615	0.5408	0.0002	0.0007
SCO2	125.8953	-1.4558	0.4926	0.0004	0.0017
SCYL3	118.8838	-1.7181	0.4324	0.0	0.0
SDCBP2	21.6955	1.1434	0.8042	0.0162	0.0405
SDE2	753.2728	-1.8809	0.2449	0.0	0.0
SDF4	5857.0367	1.1314	0.2091	0.0	0.0
SDR42E1	113.1849	-1.6139	0.4733	0.0001	0.0003
SEC13	3339.5884	1.0311	0.2225	0.0	0.0
SEC22A	135.2275	-1.249	0.4372	0.001	0.0036
SEC24A	690.1116	-1.1398	0.2537	0.0	0.0
SEC24B	581.7053	-2.1965	0.2736	0.0	0.0
SEC24D	877.3855	-1.005	0.2275	0.0	0.0
SECISBP2L	523.9346	-1.643	0.2908	0.0	0.0
SECTM1	304.4712	1.0813	0.323	0.0003	0.0012
SELENBP1	124.9384	1.0122	0.4231	0.0064	0.0181
SELM	1028.623	1.2475	0.2272	0.0	0.0
SEMA3B	1019.4361	1.2208	0.2464	0.0	0.0
SEMA3F	147.9857	1.4393	0.4341	0.0001	0.0007
SEMA4C	390.4638	-1.6239	0.291	0.0	0.0
SEMA6B	1291.7411	1.1295	0.2398	0.0	0.0
SENP5	641.7334	-2.5141	0.2634	0.0	0.0
SENP6	942.7152	-1.5263	0.3099	0.0	0.0
SEPN1	3288.6652	1.1671	0.2142	0.0	0.0
SEPSECS	86.6866	-1.5409	0.5127	0.0003	0.0012
SEPT7P2	69.0212	-1.0179	0.4957	0.0138	0.0352
SERF2	4008.9854	1.3471	0.2417	0.0	0.0
SERINC2	4893.0027	1.1951	0.2229	0.0	0.0
SERPINA1	678.8673	1.188	0.2423	0.0	0.0
SERPINA12	7.1205	1.0174	1.0142	0.0054	0.0157
SERPINA3	195.4594	1.3111	0.3534	0.0	0.0003
SERTAD2	2043.3265	-1.129	0.2535	0.0	0.0
SERTAD3	300.8273	-1.4544	0.33	0.0	0.0
SESN2	307.2109	-1.9559	0.3071	0.0	0.0
SETD1A	1101.4682	-1.3078	0.2533	0.0	0.0
SETD2	1046.9091	-1.9787	0.242	0.0	0.0
SETD5	1390.8925	-2.1054	0.217	0.0	0.0
SETD8	1142.0227	-1.0231	0.2196	0.0	0.0
SETDB1	367.2587	-1.186	0.3123	0.0	0.0002
SETX	1055.6588	-1.8317	0.2684	0.0	0.0
SEZ6L2	2109.4944	1.1617	0.2305	0.0	0.0
SF3B5	2762.6316	1.1736	0.2342	0.0	0.0
SFMBT1	561.7818	-1.0771	0.265	0.0	0.0001
SFR1	243.4187	-1.2643	0.3773	0.0002	0.0009
SFSWAP	860.8467	-1.747	0.233	0.0	0.0
SGK223	1610.7081	-1.3433	0.2134	0.0	0.0
SGMS1	706.4075	-1.0661	0.2387	0.0	0.0
SGMS2	1032.997	-1.1769	0.3152	0.0001	0.0003
SGOL1	338.914	-1.6624	0.3783	0.0	0.0
SGOL2	935.2516	-1.1129	0.6786	0.0195	0.0475
SH2B1	538.7471	-1.1164	0.3031	0.0001	0.0004
SH2B3	2060.4989	-1.4687	0.202	0.0	0.0
SH3BGRL3	7018.6011	1.0744	0.2082	0.0	0.0
SH3BP4	1832.1591	-1.4768	0.2052	0.0	0.0
SH3RF1	848.0706	-2.0694	0.2605	0.0	0.0
SH3RF3	340.6284	-1.4749	0.3031	0.0	0.0
SHB	1094.405	-1.5953	0.2236	0.0	0.0
SHISA4	283.977	1.1097	0.3305	0.0003	0.0011
SHISA5	4520.5059	1.0204	0.2191	0.0	0.0
SHISA8	33.9883	1.9972	0.9265	0.0001	0.0007
SHOC2	584.8028	-1.9782	0.3057	0.0	0.0
SHPRH	119.4706	-1.7073	0.4366	0.0	0.0
SHROOM1	425.6032	-1.3353	0.287	0.0	0.0
SHROOM3	1156.0208	-1.835	0.2229	0.0	0.0
SIAH1	148.2635	-2.5565	0.4479	0.0	0.0
SIAH2	265.2575	-1.4161	0.3163	0.0	0.0
SIK2	509.8114	-1.4143	0.2791	0.0	0.0
SIK3	650.1461	-1.6133	0.2642	0.0	0.0
SIKE1	782.4036	-1.4004	0.2665	0.0	0.0
SIL1	1509.4548	1.0025	0.2251	0.0	0.0
SIMC1	208.381	-1.6207	0.3453	0.0	0.0
SIN3A	765.5379	-2.1934	0.2498	0.0	0.0
SIPA1L3	2326.6932	-1.3256	0.2021	0.0	0.0
SIRT1	379.2464	-2.8051	0.3561	0.0	0.0
SIRT2	1075.4657	1.1482	0.242	0.0	0.0
SIX1	424.7859	-1.6144	0.2793	0.0	0.0
SIX2	79.6876	-1.956	0.539	0.0	0.0001
SIX4	270.5715	-1.3876	0.3137	0.0	0.0
SKA1	667.4568	-1.2192	0.2633	0.0	0.0
SKI	1978.8968	-1.2743	0.206	0.0	0.0
SKIL	360.0038	-1.321	0.3251	0.0	0.0001
SKP2	474.6448	-1.4208	0.265	0.0	0.0
SLBP	1950.2454	-1.0123	0.2085	0.0	0.0
SLC10A7	73.9394	-1.1395	0.5298	0.0082	0.0224
SLC16A14	33.325	1.2739	0.6976	0.0084	0.023
SLC19A2	248.7446	-2.1921	0.3414	0.0	0.0
SLC20A1	2595.7416	-1.7414	0.2266	0.0	0.0
SLC22A31	18.3697	1.1719	0.7882	0.0146	0.037
SLC25A1	2117.1229	1.0023	0.239	0.0	0.0001
SLC25A23	2129.6245	1.1891	0.219	0.0	0.0
SLC25A25	533.378	-1.362	0.2595	0.0	0.0
SLC25A27	26.7594	-1.3285	0.7054	0.0063	0.0178
SLC25A28	416.9797	-1.6439	0.2879	0.0	0.0
SLC25A30	345.6063	-1.7888	0.3268	0.0	0.0
SLC25A36	497.7693	-1.3666	0.3162	0.0	0.0
SLC25A38	512.7221	-1.7332	0.2682	0.0	0.0
SLC25A39	7025.9646	1.1379	0.2162	0.0	0.0
SLC25A44	727.984	-1.8641	0.243	0.0	0.0
SLC25A5-AS1	40.9724	1.2947	0.6055	0.0051	0.0148
SLC25A6	13118.8914	1.0013	0.2327	0.0	0.0
SLC26A2	718.3337	-1.0587	0.2717	0.0	0.0002
SLC2A3	265.6325	-1.205	0.3115	0.0	0.0002
SLC35E4	87.472	-1.223	0.4677	0.0022	0.007
SLC35F2	1558.7203	-1.0012	0.2069	0.0	0.0
SLC38A2	3103.6354	-1.2918	0.2448	0.0	0.0
SLC38A9	242.007	-1.2993	0.3673	0.0001	0.0004
SLC39A1	6497.6713	1.0159	0.2049	0.0	0.0
SLC39A3	1854.8254	1.0375	0.2404	0.0	0.0
SLC5A3	636.012	-1.1415	0.3037	0.0001	0.0003
SLC7A11	993.422	-1.4249	0.2311	0.0	0.0
SLFN12	194.8969	-1.0141	0.3469	0.0014	0.0048
SLFN5	211.6336	-1.668	0.3529	0.0	0.0
SLFNL1	18.7702	-1.1393	0.8255	0.0155	0.0389
SLMAP	1083.8436	-1.0043	0.2248	0.0	0.0
SLMO1	72.245	-1.2042	0.5066	0.0041	0.0123
SMAD3	3331.3743	-2.1409	0.1971	0.0	0.0
SMAD4	651.002	-1.6564	0.2523	0.0	0.0
SMAD5	1170.2374	-1.7498	0.2724	0.0	0.0
SMAD6	9.035	-1.2733	1.0779	0.0016	0.0054
SMAD7	714.2066	1.4482	0.2417	0.0	0.0
SMARCAD1	690.3441	-1.4335	0.2693	0.0	0.0
SMEK1	1400.5433	-1.5596	0.2213	0.0	0.0
SMEK2	1287.8391	-1.1244	0.2181	0.0	0.0
SMG9	816.2889	-1.7588	0.2575	0.0	0.0
SMPD1	1734.1989	1.1868	0.2193	0.0	0.0
SMURF1	1535.8603	-1.8143	0.2149	0.0	0.0
SMURF2	3809.5509	-2.3033	0.1933	0.0	0.0
SMYD4	245.7444	-2.7494	0.3527	0.0	0.0
SNAPC1	2216.1486	-1.1772	0.2508	0.0	0.0
SNF8	2264.8811	1.0165	0.2225	0.0	0.0
SNHG12	128.8565	-1.9468	0.426	0.0	0.0
SNHG7	943.2608	-1.5579	0.232	0.0	0.0
SNIP1	320.0794	-1.2022	0.3044	0.0	0.0001
SNRK	337.2998	-1.7473	0.332	0.0	0.0
SNRNP25	638.9727	1.2366	0.2535	0.0	0.0
SNRNP35	181.1789	-1.0694	0.3638	0.0012	0.0042
SNRPD2	3605.831	1.0715	0.2133	0.0	0.0
SNX11	383.2662	-1.9163	0.3353	0.0	0.0
SNX16	165.1368	-2.2807	0.4633	0.0	0.0
SNX22	95.8676	2.2437	0.5283	0.0	0.0
SNX33	318.3165	-1.1631	0.3032	0.0	0.0002
SNX4	356.6356	-1.4744	0.2909	0.0	0.0
SOCS2	118.485	-1.3555	0.434	0.0003	0.0014
SOCS4	822.3544	-2.611	0.3041	0.0	0.0
SOCS5	337.5844	-1.2669	0.349	0.0001	0.0004
SOCS6	419.0864	-1.0619	0.2982	0.0001	0.0006
SOCS7	302.753	-1.6151	0.3096	0.0	0.0
SOD1	4067.838	1.0491	0.1982	0.0	0.0
SOD2	4323.3908	1.0952	0.2082	0.0	0.0
SOD3	981.8664	1.325	0.2488	0.0	0.0
SOGA1	945.6639	-1.3833	0.2684	0.0	0.0
SOGA2	929.4557	-1.4653	0.2317	0.0	0.0
SORBS2	130.0633	-1.0082	0.4016	0.0047	0.0139
SORCS2	1544.7323	1.1152	0.217	0.0	0.0
SOS1	498.8381	-2.3675	0.3194	0.0	0.0
SOS2	555.917	-1.7125	0.2971	0.0	0.0
SOWAHC	557.6577	-1.1332	0.2599	0.0	0.0
SOX13	620.886	-1.4579	0.2664	0.0	0.0
SOX4	257.4038	-1.0686	0.3155	0.0003	0.0011
SP1	1184.5149	-1.3799	0.2175	0.0	0.0
SP3	1597.6676	-1.0091	0.2221	0.0	0.0
SP5	64.0709	-1.3308	0.5289	0.002	0.0066
SP6	69.6387	-2.4372	0.5848	0.0	0.0
SPAST	266.1863	-1.1277	0.4161	0.0021	0.0068
SPATA13	271.1087	-1.1566	0.315	0.0001	0.0004
SPATA2L	63.422	-1.245	0.5193	0.0035	0.0106
SPATA7	60.5293	-1.4244	0.5526	0.0013	0.0045
SPDL1	1558.9589	-1.6947	0.2499	0.0	0.0
SPECC1L	1037.6686	-1.5725	0.223	0.0	0.0
SPEN	1350.9988	-1.4123	0.2148	0.0	0.0
SPINT2	7586.1607	1.0877	0.2002	0.0	0.0
SPIRE1	1388.8629	-1.2334	0.2333	0.0	0.0
SPOP	583.8676	-1.0179	0.2532	0.0	0.0001
SPRED1	1062.9411	-2.004	0.2834	0.0	0.0
SPRED2	597.4872	-2.1827	0.2689	0.0	0.0
SPRED3	255.6317	-1.1763	0.3567	0.0003	0.0012
SPRY2	3286.3985	1.5753	0.2036	0.0	0.0
SPSB1	445.6056	-1.9574	0.2838	0.0	0.0
SPSB2	125.8302	-1.3082	0.4055	0.0003	0.0011
SPTY2D1	706.6527	-1.2753	0.2441	0.0	0.0
SRD5A3	331.8507	1.2583	0.3093	0.0	0.0001
SREBF2	3210.9214	1.0315	0.2156	0.0	0.0
SREK1IP1	547.7788	-1.1907	0.3022	0.0	0.0001
SRFBP1	313.8812	-1.8931	0.3996	0.0	0.0
SRGAP1	346.9416	-1.7584	0.3299	0.0	0.0
SRGAP2	1017.2014	-1.3371	0.2253	0.0	0.0
SRGAP2B	297.1448	-1.4638	0.3043	0.0	0.0
SRGAP2C	409.0711	-1.2049	0.2862	0.0	0.0001
SRGAP2D	531.2316	-1.5054	0.2655	0.0	0.0
SRPK2	705.6303	-1.6645	0.2475	0.0	0.0
SRPX	1452.8202	1.0954	0.2209	0.0	0.0
SRPX2	98.1011	1.0964	0.4519	0.0048	0.0141
SRSF4	822.1766	-1.2061	0.2365	0.0	0.0
SRSF5	1766.2558	-1.214	0.2127	0.0	0.0
SS18L1	324.7733	-2.0392	0.3171	0.0	0.0
SSH1	2456.7141	-1.2359	0.1983	0.0	0.0
SSR4	3191.4318	1.1077	0.2147	0.0	0.0
ST3GAL1	734.0254	-1.9453	0.253	0.0	0.0
ST3GAL6	129.2674	-1.5147	0.475	0.0002	0.0008
