13	0.27 mins
14	0.55 mins
15	0.55 mins
10	0.55 mins
16	0.85 mins
12	1.12 mins
11	1.25 mins
1	3.02 mins
21	0.23 mins
18	0.28 mins
22	0.33 mins
20	0.33 mins
19	1.18 mins
3	1.18 mins
17	1.20 mins
2	1.73 mins
MT	0.18 mins
X	0.53 mins
9	0.58 mins
8	0.62 mins
4	0.65 mins
5	0.82 mins
6	0.83 mins
7	0.88 mins
Y	0.18 mins
