13	0.33 mins
10	0.67 mins
14	0.70 mins
15	0.72 mins
16	0.92 mins
12	1.22 mins
11	1.30 mins
1	3.03 mins
21	0.30 mins
18	0.30 mins
20	0.37 mins
22	0.42 mins
19	1.23 mins
3	1.23 mins
17	1.23 mins
2	1.75 mins
MT	0.22 mins
X	0.57 mins
9	0.63 mins
8	0.72 mins
4	0.72 mins
6	0.93 mins
5	0.93 mins
7	0.95 mins
Y	0.17 mins
