Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,CDK5,CDK5,32,1000
MEL-0495(R)Pharmaron-2nd Batch,CDK7,CDK7,95.2,1000
MEL-0495(R)Pharmaron-2nd Batch,CDK8,CDK8,12,1000
MEL-0495(R)Pharmaron-2nd Batch,CDK9,CDK9,65,1000
MEL-0495(R)Pharmaron-2nd Batch,CDKL1,CDKL1,79,1000
MEL-0495(R)Pharmaron-2nd Batch,CDKL2,CDKL2,80,1000
MEL-0495(R)Pharmaron-2nd Batch,CDKL3,CDKL3,53,1000
MEL-0495(R)Pharmaron-2nd Batch,CDKL5,CDKL5,94.9,1000
MEL-0495(R)Pharmaron-2nd Batch,CHEK1,CHEK1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,CHEK2,CHEK2,29,1000
MEL-0495(R)Pharmaron-2nd Batch,CIT,CIT,99.85,1000
MEL-0495(R)Pharmaron-2nd Batch,CLK1,CLK1,54,1000
MEL-0495(R)Pharmaron-2nd Batch,CLK2,CLK2,50,1000
MEL-0495(R)Pharmaron-2nd Batch,CLK3,CLK3,21,1000
MEL-0495(R)Pharmaron-2nd Batch,CLK4,CLK4,73,1000
MEL-0495(R)Pharmaron-2nd Batch,CSF1R,CSF1R,52,1000
MEL-0495(R)Pharmaron-2nd Batch,CSF1R-autoinhibited,CSF1R,5,1000
MEL-0495(R)Pharmaron-2nd Batch,CSK,CSK,16,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1A1,CSNK1A1,83,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1A1L,CSNK1A1L,36,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1D,CSNK1D,75,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1E,CSNK1E,80,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1G1,CSNK1G1,27,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1G2,CSNK1G2,21,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK1G3,CSNK1G3,0,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK2A1,CSNK2A1,84,1000
MEL-0495(R)Pharmaron-2nd Batch,CSNK2A2,CSNK2A2,89,1000
MEL-0495(R)Pharmaron-2nd Batch,CTK,MATK,40,1000
MEL-0495(R)Pharmaron-2nd Batch,DAPK1,DAPK1,79,1000
MEL-0495(R)Pharmaron-2nd Batch,DAPK2,DAPK2,44,1000
MEL-0495(R)Pharmaron-2nd Batch,DAPK3,DAPK3,68,1000
MEL-0495(R)Pharmaron-2nd Batch,DCAMKL1,DCLK1,26,1000
MEL-0495(R)Pharmaron-2nd Batch,DCAMKL2,DCLK2,47,1000
MEL-0495(R)Pharmaron-2nd Batch,DCAMKL3,DCLK3,99.4,1000
MEL-0495(R)Pharmaron-2nd Batch,DDR1,DDR1,1,1000
MEL-0495(R)Pharmaron-2nd Batch,DDR2,DDR2,10,1000
MEL-0495(R)Pharmaron-2nd Batch,DLK,MAP3K12,15,1000
MEL-0495(R)Pharmaron-2nd Batch,DMPK,DMPK,14,1000
