Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(I800L),PIK3CA,34,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(M1043I),PIK3CA,46,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(Q546K),PIK3CA,7,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CB,PIK3CB,43,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CD,PIK3CD,42,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CG,PIK3CG,16,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK4CB,PI4KB,6,1000
MEL-0495(R)Pharmaron-2nd Batch,PIKFYVE,PIKFYVE,20,1000
MEL-0495(R)Pharmaron-2nd Batch,PIM1,PIM1,78,1000
MEL-0495(R)Pharmaron-2nd Batch,PIM2,PIM2,94.2,1000
MEL-0495(R)Pharmaron-2nd Batch,PIM3,PIM3,82,1000
MEL-0495(R)Pharmaron-2nd Batch,PIP5K1A,PIP5K1A,70,1000
MEL-0495(R)Pharmaron-2nd Batch,PIP5K1C,PIP5K1C,83,1000
MEL-0495(R)Pharmaron-2nd Batch,PIP5K2B,PIP4K2B,12,1000
MEL-0495(R)Pharmaron-2nd Batch,PIP5K2C,PIP4K2C,70,1000
MEL-0495(R)Pharmaron-2nd Batch,PKAC-alpha,PRKACA,10,1000
MEL-0495(R)Pharmaron-2nd Batch,PKAC-beta,PRKACB,18,1000
MEL-0495(R)Pharmaron-2nd Batch,PKMYT1,PKMYT1,21,1000
MEL-0495(R)Pharmaron-2nd Batch,PKN1,PKN1,95.8,1000
MEL-0495(R)Pharmaron-2nd Batch,PKN2,PKN2,84,1000
MEL-0495(R)Pharmaron-2nd Batch,PKNB(M.tuberculosis),pknB,62,1000
MEL-0495(R)Pharmaron-2nd Batch,PLK1,PLK1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,PLK2,PLK2,0,1000
MEL-0495(R)Pharmaron-2nd Batch,PLK3,PLK3,15,1000
MEL-0495(R)Pharmaron-2nd Batch,PLK4,PLK4,0,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKCD,PRKCD,20,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKCE,PRKCE,36,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKCH,PRKCH,56,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKCI,PRKCI,8,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKCQ,PRKCQ,35,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKD1,PRKD1,47,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKD2,PRKD2,32,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKD3,PRKD3,44,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKG1,PRKG1,19,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKG2,PRKG2,85,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKR,EIF2AK2,84,1000
MEL-0495(R)Pharmaron-2nd Batch,PRKX,PRKX,50,1000
MEL-0495(R)Pharmaron-2nd Batch,PRP4,PRPF4B,34,1000
MEL-0495(R)Pharmaron-2nd Batch,PYK2,PTK2B,26,1000
MEL-0495(R)Pharmaron-2nd Batch,QSK,KIAA0999,42,1000
MEL-0495(R)Pharmaron-2nd Batch,RAF1,RAF1,23,1000
MEL-0495(R)Pharmaron-2nd Batch,RET,RET,20,1000
MEL-0495(R)Pharmaron-2nd Batch,RET(M918T),RET,14,1000
MEL-0495(R)Pharmaron-2nd Batch,RET(V804L),RET,20,1000
MEL-0495(R)Pharmaron-2nd Batch,RET(V804M),RET,27,1000
MEL-0495(R)Pharmaron-2nd Batch,RIOK1,RIOK1,31,1000
MEL-0495(R)Pharmaron-2nd Batch,RIOK2,RIOK2,44,1000
MEL-0495(R)Pharmaron-2nd Batch,RIOK3,RIOK3,40,1000
MEL-0495(R)Pharmaron-2nd Batch,RIPK1,RIPK1,26,1000
MEL-0495(R)Pharmaron-2nd Batch,RIPK2,RIPK2,25,1000
MEL-0495(R)Pharmaron-2nd Batch,RIPK4,RIPK4,22,1000
MEL-0495(R)Pharmaron-2nd Batch,RIPK5,DSTYK,0,1000
MEL-0495(R)Pharmaron-2nd Batch,ROCK1,ROCK1,24,1000
MEL-0495(R)Pharmaron-2nd Batch,ROCK2,ROCK2,5,1000
MEL-0495(R)Pharmaron-2nd Batch,ROS1,ROS1,51,1000
MEL-0495(R)Pharmaron-2nd Batch,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4,28,1000
MEL-0495(R)Pharmaron-2nd Batch,RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA4,0,1000
MEL-0495(R)Pharmaron-2nd Batch,RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5,31,1000
MEL-0495(R)Pharmaron-2nd Batch,RPS6KA5(Kin.Dom.2-C-terminal),RPS6KA5,14,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK1(Kin.Dom.1-N-terminal),RPS6KA1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK1(Kin.Dom.2-C-terminal),RPS6KA1,56,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK2(Kin.Dom.1-N-terminal),RPS6KA3,49,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK2(Kin.Dom.2-C-terminal),RPS6KA3,25,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK3(Kin.Dom.1-N-terminal),RPS6KA2,20,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK3(Kin.Dom.2-C-terminal),RPS6KA2,40,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK4(Kin.Dom.1-N-terminal),RPS6KA6,11,1000
MEL-0495(R)Pharmaron-2nd Batch,RSK4(Kin.Dom.2-C-terminal),RPS6KA6,50,1000
MEL-0495(R)Pharmaron-2nd Batch,S6K1,RPS6KB1,21,1000
MEL-0495(R)Pharmaron-2nd Batch,SBK1,SBK1,2,1000
MEL-0495(R)Pharmaron-2nd Batch,SGK,SGK1,17,1000
MEL-0495(R)Pharmaron-2nd Batch,SgK110,SgK110,0,1000
MEL-0495(R)Pharmaron-2nd Batch,SGK2,SGK2,28,1000
MEL-0495(R)Pharmaron-2nd Batch,SGK3,SGK3,17,1000
MEL-0495(R)Pharmaron-2nd Batch,SIK,SIK1,19,1000
MEL-0495(R)Pharmaron-2nd Batch,SIK2,SIK2,5,1000
MEL-0495(R)Pharmaron-2nd Batch,SLK,SLK,22,1000
MEL-0495(R)Pharmaron-2nd Batch,SNARK,NUAK2,17,1000
MEL-0495(R)Pharmaron-2nd Batch,SNRK,SNRK,27,1000
MEL-0495(R)Pharmaron-2nd Batch,SRC,SRC,78,1000
MEL-0495(R)Pharmaron-2nd Batch,SRMS,SRMS,25,1000
MEL-0495(R)Pharmaron-2nd Batch,SRPK1,SRPK1,34,1000
MEL-0495(R)Pharmaron-2nd Batch,SRPK2,SRPK2,16,1000
MEL-0495(R)Pharmaron-2nd Batch,SRPK3,SRPK3,19,1000
MEL-0495(R)Pharmaron-2nd Batch,STK16,STK16,32,1000
MEL-0495(R)Pharmaron-2nd Batch,STK33,STK33,1,1000
MEL-0495(R)Pharmaron-2nd Batch,STK35,STK35,13,1000
MEL-0495(R)Pharmaron-2nd Batch,STK36,STK36,30,1000
MEL-0495(R)Pharmaron-2nd Batch,STK39,STK39,60,1000
MEL-0495(R)Pharmaron-2nd Batch,SYK,SYK,47,1000
MEL-0495(R)Pharmaron-2nd Batch,TAK1,MAP3K7,99.9,1000
MEL-0495(R)Pharmaron-2nd Batch,TAOK1,TAOK1,98.6,1000
MEL-0495(R)Pharmaron-2nd Batch,TAOK2,TAOK2,87,1000
MEL-0495(R)Pharmaron-2nd Batch,TAOK3,TAOK3,89,1000
MEL-0495(R)Pharmaron-2nd Batch,TBK1,TBK1,28,1000
MEL-0495(R)Pharmaron-2nd Batch,TEC,TEC,8,1000
MEL-0495(R)Pharmaron-2nd Batch,TESK1,TESK1,42,1000
MEL-0495(R)Pharmaron-2nd Batch,TGFBR1,TGFBR1,44,1000
MEL-0495(R)Pharmaron-2nd Batch,TGFBR2,TGFBR2,60,1000
MEL-0495(R)Pharmaron-2nd Batch,TIE1,TIE1,20,1000
MEL-0495(R)Pharmaron-2nd Batch,TIE2,TEK,14,1000
MEL-0495(R)Pharmaron-2nd Batch,TLK1,TLK1,78,1000
MEL-0495(R)Pharmaron-2nd Batch,TLK2,TLK2,93,1000
MEL-0495(R)Pharmaron-2nd Batch,TNIK,TNIK,39,1000
MEL-0495(R)Pharmaron-2nd Batch,TNK1,TNK1,34,1000
MEL-0495(R)Pharmaron-2nd Batch,TNK2,TNK2,6,1000
MEL-0495(R)Pharmaron-2nd Batch,TNNI3K,TNNI3K,34,1000
MEL-0495(R)Pharmaron-2nd Batch,TRKA,NTRK1,18,1000
MEL-0495(R)Pharmaron-2nd Batch,TRKB,NTRK2,0,1000
MEL-0495(R)Pharmaron-2nd Batch,TRKC,NTRK3,7,1000
MEL-0495(R)Pharmaron-2nd Batch,TRPM6,TRPM6,16,1000
MEL-0495(R)Pharmaron-2nd Batch,TSSK1B,TSSK1B,7,1000
MEL-0495(R)Pharmaron-2nd Batch,TSSK3,TSSK3,20,1000
MEL-0495(R)Pharmaron-2nd Batch,TTK,TTK,56,1000
MEL-0495(R)Pharmaron-2nd Batch,TXK,TXK,39,1000
MEL-0495(R)Pharmaron-2nd Batch,TYK2(JH1domain-catalytic),TYK2,98.4,1000
MEL-0495(R)Pharmaron-2nd Batch,TYK2(JH2domain-pseudokinase),TYK2,67,1000
MEL-0495(R)Pharmaron-2nd Batch,TYRO3,TYRO3,20,1000
MEL-0495(R)Pharmaron-2nd Batch,ULK1,ULK1,17,1000
MEL-0495(R)Pharmaron-2nd Batch,ULK2,ULK2,41,1000
MEL-0495(R)Pharmaron-2nd Batch,ULK3,ULK3,0,1000
MEL-0495(R)Pharmaron-2nd Batch,VEGFR2,KDR,11,1000
MEL-0495(R)Pharmaron-2nd Batch,VPS34,PIK3C3,7,1000
MEL-0495(R)Pharmaron-2nd Batch,VRK2,VRK2,77,1000
MEL-0495(R)Pharmaron-2nd Batch,WEE1,WEE1,19,1000
MEL-0495(R)Pharmaron-2nd Batch,WEE2,WEE2,11,1000
MEL-0495(R)Pharmaron-2nd Batch,WNK1,WNK1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,WNK2,WNK2,0,1000
MEL-0495(R)Pharmaron-2nd Batch,WNK3,WNK3,8,1000
MEL-0495(R)Pharmaron-2nd Batch,WNK4,WNK4,22,1000
MEL-0495(R)Pharmaron-2nd Batch,YANK1,STK32A,23,1000
MEL-0495(R)Pharmaron-2nd Batch,YANK2,STK32B,1,1000
MEL-0495(R)Pharmaron-2nd Batch,YANK3,STK32C,39,1000
MEL-0495(R)Pharmaron-2nd Batch,YES,YES1,26,1000
MEL-0495(R)Pharmaron-2nd Batch,YSK1,STK25,91.3,1000
MEL-0495(R)Pharmaron-2nd Batch,YSK4,MAP3K19,6,1000
MEL-0495(R)Pharmaron-2nd Batch,ZAK,ZAK,31,1000
MEL-0495(R)Pharmaron-2nd Batch,ZAP70,ZAP70,12,1000
