xName,size
AAK1,25.575575575575574
ABL1,35.585585585585584
ABL1,48.7987987987988
ABL1,50.0
ABL1,50.0
ABL1,37.98798798798799
ABL1,29.57957957957958
ABL1,40.790790790790794
ABL1,34.78478478478478
ABL1,33.98398398398398
ABL1,44.394394394394396
ABL1,43.593593593593596
ABL1,41.991991991991995
ABL1,37.98798798798799
ABL1,35.18518518518518
ABL1,41.591591591591595
ABL2,45.5955955955956
ACVR1,17.567567567567565
ACVR1B,34.78478478478478
ACVR2A,36.78678678678679
ACVR2B,41.191191191191194
ACVRL1,28.77877877877878
CABC1,36.78678678678679
ADCK4,36.38638638638639
AKT1,46.7967967967968
AKT2,39.18918918918919
AKT3,50.0
ALK,36.38638638638639
ALK,35.585585585585584
ALK,35.585585585585584
PRKAA1,42.792792792792795
PRKAA2,33.18318318318318
ANKK1,50.0
NUAK1,40.790790790790794
MAP3K5,46.7967967967968
MAP3K6,36.38638638638639
AURKA,39.18918918918919
AURKB,48.3983983983984
AURKC,46.7967967967968
AXL,43.593593593593596
BMP2K,27.97797797797798
BLK,31.58158158158158
BMPR1A,31.98198198198198
BMPR1B,44.7947947947948
BMPR2,50.0
BMX,38.38838838838839
BRAF,50.0
BRAF,50.0
PTK6,47.5975975975976
BRSK1,32.38238238238238
BRSK2,32.78278278278278
BTK,38.38838838838839
BUB1,12.202202202202201
CAMK1,35.18518518518518
PNCK,49.1991991991992
CAMK1D,36.38638638638639
CAMK1G,31.98198198198198
CAMK2A,21.17117117117117
CAMK2B,31.98198198198198
CAMK2D,19.969969969969966
CAMK2G,32.78278278278278
CAMK4,35.585585585585584
CAMKK1,32.38238238238238
CAMKK2,31.58158158158158
CASK,40.790790790790794
CDK11B,10.12012012012012
CDC2L2,11.841841841841841
CDK13,26.776776776776778
CDK19,50.0
CDK2,33.18318318318318
CDK3,32.78278278278278
CDK4,50.0
CDK4,27.57757757757758
CDK4,20.37037037037037
CDK5,37.18718718718719
CDK7,11.881881881881881
CDK8,45.1951951951952
CDK9,23.973973973973973
CDKL1,18.368368368368365
CDKL2,17.967967967967965
CDKL3,28.77877877877878
CDKL5,12.002002002002001
CHEK1,50.0
CHEK2,38.38838838838839
CIT,10.02002002002002
CLK1,28.37837837837838
CLK2,29.97997997997998
CLK3,41.591591591591595
CLK4,20.77077077077077
CSF1R,29.17917917917918
CSF1R,47.997997997998
CSK,43.593593593593596
CSNK1A1,16.766766766766764
CSNK1A1L,35.585585585585584
CSNK1D,19.969969969969966
CSNK1E,17.967967967967965
CSNK1G1,39.18918918918919
CSNK1G2,41.591591591591595
CSNK1G3,50.0
CSNK2A1,16.366366366366364
CSNK2A2,14.364364364364365
MATK,33.98398398398398
DAPK1,18.368368368368365
DAPK2,32.38238238238238
DAPK3,22.772772772772772
DCLK1,39.58958958958959
DCLK2,31.18118118118118
DCLK3,10.2002002002002
DDR1,49.5995995995996
DDR2,45.995995995996
MAP3K12,43.993993993993996
DMPK,44.394394394394396
CDC42BPG,44.394394394394396
STK17A,11.001001001001
STK17B,11.2012012012012
DYRK1A,33.98398398398398
DYRK1B,28.37837837837838
DYRK2,31.18118118118118
EGFR,39.58958958958959
EGFR,36.78678678678679
EGFR,50.0
EGFR,42.39239239239239
EGFR,31.18118118118118
EGFR,39.18918918918919
EGFR,42.39239239239239
EGFR,31.98198198198198
EGFR,21.17117117117117
EGFR,37.98798798798799
EGFR,43.993993993993996
EGFR,50.0
EIF2AK1,40.790790790790794
EPHA1,30.78078078078078
EPHA2,42.39239239239239
EPHA3,31.58158158158158
EPHA4,39.18918918918919
EPHA5,40.390390390390394
EPHA6,41.991991991991995
EPHA7,45.5955955955956
EPHA8,41.591591591591595
EPHB1,48.3983983983984
EPHB2,40.790790790790794
EPHB3,37.58758758758759
EPHB4,42.39239239239239
EPHB6,29.57957957957958
ERBB2,31.58158158158158
ERBB3,46.3963963963964
ERBB4,36.78678678678679
MAPK3,43.993993993993996
MAPK1,43.993993993993996
MAPK6,46.3963963963964
MAPK4,46.3963963963964
MAPK7,38.38838838838839
MAPK15,11.401401401401401
ERN1,47.1971971971972
PTK2,43.593593593593596
FER,43.993993993993996
FES,47.5975975975976
FGFR1,45.5955955955956
