cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
L33,Medium Expression,L33,0.181032107,0.127103325,0.211713225,-3.291227066,-4.824890596,-6.43082298,-4.926123282,-3.632388995
L82,High Expression,L82,0.267766846,-0.00679902,0.006443551,-3.497589626,-3.755598635,-4.185995225,-4.09970714,-4.030109615
LN464,High Expression,LN464,-0.019566609,0.036733676,-0.064048547,-2.819531765,-3.669824197,-4.378585842,-3.914725517,-3.926263744
LNZ308,High Expression,LNZ308,0.080101891,-0.10770638,0.371101957,-1.897758759,-2.996201254,-2.926365607,-3.059992387,-2.923348709
LPS141,High Expression,LPS141,0.473094088,0.134016434,0.805460059,-0.291885826,-2.561926094,-4.034454196,-3.294184472,-3.05163839
MEL285,Low Expression,MEL285,0.267607224,-0.687304588,-0.359005097,-2.080219309,-2.885094567,-2.918436635,-4.376720898,-4.001630028
MEL290,High Expression,MEL290,0.375322551,0.167539774,0.059860926,-0.9543097,-2.276073912,-2.569479343,-2.783460266,-2.769835668
MM1S,High Expression,MM1S,0.358193883,0.198756913,0.267920133,-1.119161095,-2.107893295,-3.721708348,-2.646285777,-3.266537256
MMNK1,High Expression,MMNK1,-0.042614336,0.021930637,-0.068363965,-1.623205127,-4.407648344,-3.443862958,-3.685484597,-3.797230146
MON,High Expression,MON,-0.38733063,-1.496123862,-0.381869344,-2.647454206,-2.684944537,-3.144607265,-3.217871631,-2.844813342
NCIH157DM,High Expression,NCIH157DM,-0.550612337,0.024283583,0.074056358,-2.560257748,-3.217738615,-3.221910844,-3.488677691,-3.353838743
NCIH2004RT,High Expression,NCIH2004RT,0.037357966,-0.153726715,-0.390885545,-1.358729154,-2.791388423,-3.558725876,-3.952233518,-2.805580063
OC314,High Expression,OC314,-0.222317287,-0.149542278,0.056861916,-3.669479726,-3.782545147,-4.301867661,-4.342464751,-3.746924043
OC316,High Expression,OC316,-0.44312105,0.444675788,0.023686015,-2.972655409,-3.692293351,-4.062901019,-4.811739834,-4.046445013
OCIC4P,High Expression,OCIC4P,0.000731711,-0.11183868,0.377690709,-1.379948391,-2.9648646,-4.510244723,-4.219421095,-4.460196668
OCIC5X,High Expression,OCIC5X,0.119099455,-0.019154179,-0.607612614,-4.806711499,-4.101582759,-4.563913556,-4.456875331,-3.957918172
OCILY132,High Expression,OCILY132,0.076846795,-0.168538963,-0.348723577,-2.131197501,-3.092861759,-3.669843318,-4.215252987,-2.884422435
OCILY3,High Expression,OCILY3,-0.039200289,0.253488139,-0.334082854,-1.766503325,-4.087188605,-4.673393919,-3.991625987,-3.364200156
OCIP5X,High Expression,OCIP5X,0.299852089,-0.122532132,-0.66126021,-1.97167275,-2.619414571,-4.551331484,-3.590350042,-3.366318625
OZ,High Expression,OZ,-0.39003677,-0.332857904,-0.232893267,-2.019065365,-3.029184327,-3.066366007,-3.107116893,-3.425259002
RBE,Low Expression,RBE,0.304729658,-0.566890411,0.309122595,-0.952480957,-2.319315888,-2.735488194,-2.841779978,-2.009955843
RH28,High Expression,RH28,0.938303125,-0.23446728,0.137067745,-2.020807089,-3.254022425,-2.672715288,-3.523022275,-3.376943706
RH36,High Expression,RH36,0.125941912,-0.403805234,-0.228549099,0.171371522,-2.090049649,-1.355959878,-2.568790333,-1.799199067
RH4,High Expression,RH4,0.12899479,-0.423811873,-0.288720097,-2.848954122,-3.341407819,-3.835608817,-3.640944184,-3.742341038
RHJT,High Expression,RHJT,-0.50657665,-0.337355311,0.110779943,-0.745369389,-2.190171574,-3.121464162,-2.787604044,-2.661457611
SF539,High Expression,SF539,0.312694402,0.297168079,-0.033343505,-3.007665662,-3.928116568,-4.500994812,-5.070593171,-3.455086844
SG231,Medium Expression,SG231,-0.364517863,0.219672078,-0.939965819,-3.559475003,-3.827973135,-4.246370497,-3.793955995,-4.09109696
SKPNDW,High Expression,SKPNDW,-0.248946729,0.211714412,0.126127636,-3.24764271,-2.81570255,-4.905432334,-3.02423703,-3.863015709
SMSCTR,Medium Expression,SMSCTR,-0.172314461,0.033477989,-1.172790784,-2.523422261,-4.768645837,-2.987329352,-3.634716105,-4.05059627
SNB75,Medium Expression,SNB75,0.010858011,-0.029914713,-0.517680492,-0.884009688,-3.088356265,-4.066389983,-2.684368846,-3.35101743
SNU2372,High Expression,SNU2372,0.321462835,-0.137181529,-0.3558925,-1.744639602,-3.341298051,-3.809356171,-3.867905834,-3.903289644
SSP25,High Expression,SSP25,0.33497236,0.04033798,-0.054093841,-1.477950761,-3.386180295,-3.864910797,-3.412352605,-3.965630664
STM9101,Medium Expression,STM9101,0.200746282,0.375090886,0.041350749,-1.431868067,-2.618873456,-3.201869683,-4.178671986,-2.139577558
SUM149PT,Low Expression,SUM149PT,-0.630337847,-0.002341158,-0.030297684,-1.797908976,-4.09932725,-4.409311461,-4.378043597,-4.495468593
