cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
UMUC7,High Expression,UMUC7,-0.125358032,0.366073874,-0.205627477,-2.550023977,-3.476400853,-4.2681341,-3.933770302,-2.911620365
UMUC10,High Expression,UMUC10,0.152719184,-0.143748638,-0.105382949,-2.854284353,-3.955763095,-3.888065178,-3.983615405,-4.062476904
UMUC11,Medium Expression,UMUC11,0.373951251,-0.254347303,0.186003137,-1.131187496,-2.778518065,-4.47922598,-2.812395774,-2.986977476
UMUC13,High Expression,UMUC13,-0.2681688,-0.206686408,-0.143979786,-3.008999805,-3.548734458,-3.485849918,-3.776643401,-3.59212428
UMRC3,High Expression,UMRC3,-0.113035998,-0.037957675,-0.246038726,-0.511779331,-2.925071711,-3.803584138,-4.39908811,-3.540759993
UMRC7,High Expression,UMRC7,0.097320986,0.117249073,-0.144911334,-2.207388409,-3.889409979,-4.482532738,-3.967287719,-4.223782847
SNU81,High Expression,SNU81,-0.213802204,-0.987345201,0.113102515,-2.79621436,-2.426528148,-3.131896107,-3.154892695,-2.588431334
SNU840,High Expression,SNU840,-0.084185452,-0.055877019,-0.102574862,-1.087278981,-4.041061225,-4.109045823,-4.161569083,-4.152609395
HT115,Medium Expression,HT115,0.317171549,0.410068769,-0.120314496,-1.564622568,-2.851207545,-3.334538959,-2.833368744,-3.764872033
HT55,Low Expression,HT55,0.070385138,0.10221177,-0.274157465,-2.020763967,-2.836160405,-3.756883773,-3.082943128,-3.665892099
OAW42,Low Expression,OAW42,0.282326596,0.021193108,-0.530372568,-2.940716445,-3.974093102,-4.038894591,-4.246026592,-3.59939486
SNU869,High Expression,SNU869,0.224403694,0.033558106,0.566125192,-1.069546984,-3.401069981,-4.032824562,-3.975450293,-3.498008448
COLO668,High Expression,COLO668,-0.214637039,-0.153123655,-0.806427632,-3.023347148,-2.79151386,-3.668765117,-3.561922493,-3.605384498
C8166,High Expression,C8166,0.059467918,-0.011087988,-0.525730867,-3.15364479,-4.195381217,-4.046172875,-4.508208538,-4.450703621
SNU886,High Expression,SNU886,-0.026647568,0.391641818,0.306336205,-2.29639157,-4.759193832,-4.27609479,-4.474956644,-4.458995849
SNU899,Medium Expression,SNU899,-0.538689624,-0.104136373,0.198518021,-2.606480791,-3.14959115,-4.108826522,-3.85524933,-4.417019194
LUDLU1,Medium Expression,LUDLU1,-0.088161962,-0.404277765,-1.406907335,-4.161392981,-4.714257581,-2.897794361,-3.388167932,-4.601792598
RO82W1,Medium Expression,RO82W1,-0.064038293,0.058463734,-1.008843825,-2.004844747,-3.57821379,-3.876534903,-3.653144361,-4.084229472
CORL88,High Expression,CORL88,-0.306695475,-0.713414054,0.027315674,-3.934687751,-3.949148274,-3.923723519,-4.016629049,-4.296531143
CORL105,Medium Expression,CORL105,-0.25540395,-0.546974168,-0.733972764,-1.729641675,-2.860284265,-2.357121764,-2.869334095,-2.838267393
CORL23,Medium Expression,CORL23,0.155500618,0.183582258,-0.056789305,-2.581737729,-3.772311081,-3.783142045,-3.354116477,-3.829706098
COLO792,Low Expression,COLO792,0.646001065,-0.993520691,-0.287056258,-1.525227346,-3.520062911,-3.23819354,-4.160683908,-3.430962098
COLO741,Medium Expression,COLO741,0.269745645,-0.564812309,0.192461396,-1.018123564,-3.085432357,-3.658614939,-3.834610137,-4.617165138
A2780,High Expression,A2780,0.081331863,-0.562838607,-0.699639643,-3.401582078,-2.778861142,-3.540707982,-2.68813858,-2.854741072
HGC27,High Expression,HGC27,-0.170253394,-0.041678159,-1.636277705,-4.024386491,-3.969051666,-3.721835719,-4.204481395,-3.85621351
PSN1,Medium Expression,PSN1,0.29073245,0.204837378,-0.53341353,-3.52843724,-3.338501658,-4.225877602,-4.290402733,-3.538865028
FTC133,Medium Expression,FTC133,0.180992812,0.109154563,0.359905931,-0.757517418,-3.101354209,-3.705100784,-4.346431063,-3.687323842
FTC238,High Expression,FTC238,-0.418043559,-0.680344182,-1.084474212,-2.061493127,-3.670224769,-2.919421182,-3.245943482,-3.086805768
DMS273,Medium Expression,DMS273,-0.106477327,0.212529008,0.006607673,-2.738826972,-3.14490142,-3.074419201,-3.675640304,-4.020566612
GP2D,High Expression,GP2D,-0.292362507,0.081268159,0.093377009,-2.183805204,-3.184980025,-3.923059489,-3.847600576,-3.308693299
GP5D,High Expression,GP5D,0.292491318,-0.480537418,-0.008499773,-0.409409322,-2.416447007,-3.143957857,-2.779805941,-3.026865187
NCIH322,Medium Expression,NCIH322,0.050945821,0.070983842,-0.065376814,-3.255489984,-3.652887611,-3.782754658,-3.974690479,-3.926948598
OV56,High Expression,OV56,0.250783011,0.019210847,-0.318408835,-1.397945252,-3.579612214,-3.491872533,-3.776835392,-4.082910279
OV17R,High Expression,OV17R,0.248885301,0.059869686,0.006901314,-1.627283531,-2.952512573,-2.993134995,-3.190162067,-3.298953071
OV7,Medium Expression,OV7,0.148967067,-0.254407982,-0.429495905,-0.763193709,-2.631155769,-3.880162293,-2.890727743,-3.555324917
CHAGOK1,High Expression,CHAGOK1,-0.062407552,-0.21368596,-0.874097142,-2.708455595,-4.477363581,-4.108626213,-3.786288749,-3.022496398
PECAPJ15,Medium Expression,PECAPJ15,-0.286657021,-0.151087401,-0.362363645,-3.005283501,-4.478337709,-3.772249711,-4.564036404,-4.793665221
PECAPJ41CLONED2,Low Expression,PECAPJ41CLONED2,0.267701486,0.109227435,-0.638908077,-3.306419797,-3.119375196,-3.690881932,-3.628412051,-3.107545782
MDST8,Low Expression,MDST8,-0.066618983,-0.287036892,-0.588219882,-3.466862684,-3.903132495,-4.439049184,-3.86275929,-3.772553711
ISHIKAWAHERAKLIO02ER,High Expression,ISHIKAWAHERAKLIO02ER,0.064603456,-0.154038951,-0.134469562,-1.943969233,-3.872800202,-3.969981713,-3.810299118,-4.180657384
HUPT4,Medium Expression,HUPT4,0.755303603,0.456207558,0.054946495,-2.041904448,-3.602590604,-3.953075343,-3.38861366,-3.32494778
HEL,High Expression,HEL,-0.007437653,-0.194005429,-0.157741561,-1.895954185,-3.848103938,-4.272171348,-3.759300388,-4.161174948
MONOMAC6,High Expression,MONOMAC6,-0.03903869,-0.187634224,-0.276577748,-2.847703953,-3.982871247,-4.033995948,-3.949016859,-4.124448743
RVH421,Medium Expression,RVH421,0.420486289,-0.054308477,-0.031647593,-2.08621771,-3.929047495,-4.54355209,-4.101963566,-3.584855763
NALM6,High Expression,NALM6,-0.105566931,0.007976902,0.607276283,-2.381706577,-3.634814469,-3.968673331,-3.441232604,-3.421032288
COLO320,Medium Expression,COLO320,0.208588023,-0.625526587,-1.178744136,-4.668908178,-3.465883604,-3.627124169,-4.018521499,-3.900879
SKMEL30,High Expression,SKMEL30,0.18452081,-0.197003273,0.477581234,-0.865128244,-3.715179207,-4.732512024,-4.491874109,-3.876155247
MHHNB11,Medium Expression,MHHNB11,0.101582094,-0.013426904,-0.020562138,-3.198074288,-2.649036512,-4.284160522,-3.796980891,-3.350631801
PATU8988T,Medium Expression,PATU8988T,0.170088518,0.080622863,-0.326706887,-4.439648881,-3.38236949,-4.147905185,-3.753856328,-4.085814605
SIMA,Low Expression,SIMA,-0.085707731,-0.237619446,-0.397770755,-3.077638519,-3.55359739,-3.714724552,-3.366043591,-3.421042778
MHHES1,High Expression,MHHES1,-0.061904782,-0.378326732,-0.344642202,-4.209974165,-3.563452728,-3.923390463,-4.581074701,-4.2473644
LAMA84,High Expression,LAMA84,0.275549483,-0.025781838,0.081663396,-1.754257342,-3.564973139,-3.787080742,-4.862613742,-3.950392324
PATU8902,Medium Expression,PATU8902,-0.021769679,-0.012299665,0.050523851,-1.408124533,-3.347198683,-3.269782811,-3.05363426,-2.825878565
JVM3,High Expression,JVM3,-0.656727166,-0.432643488,0.205762717,-2.459057434,-3.080957747,-3.989599801,-3.821807546,-3.868686506
COLO680N,High Expression,COLO680N,-0.146482991,0.085440079,-0.042570972,-2.372696693,-3.590231739,-3.798381348,-4.52319395,-3.761867704
EFO27,Medium Expression,EFO27,-0.026037317,-0.080595101,-0.128847745,-3.329152438,-3.624145935,-3.254545858,-3.328439657,-2.977953161
BV173,High Expression,BV173,0.307658645,0.461911447,0.018911045,-2.665294537,-3.486367348,-2.154058051,-3.718738387,-3.003562337
2313287,Medium Expression,2313287,-0.432410989,0.122069497,0.019532299,-3.230964828,-3.541825142,-4.024008797,-4.783719924,-4.62732848
PATU8988S,Medium Expression,PATU8988S,-0.700485177,0.344115773,-0.355969306,-1.604440969,-1.355070726,-1.227056338,-2.427200365,-2.956045656
NB4,High Expression,NB4,-0.176081642,-0.0865328,-0.173879411,-3.485032968,-4.113072622,-3.040150027,-3.497867354,-3.965093995
EFE184,Medium Expression,EFE184,0.053224893,0.393572953,-0.186073458,-2.653326421,-3.041833162,-4.131715287,-4.460780288,-4.532139324
EFO21,High Expression,EFO21,-0.083875038,-0.100900296,-0.030731502,-1.917104209,-2.134152167,-2.587233267,-2.364869952,-2.138325902
IGR1,Medium Expression,IGR1,-0.50309041,-0.108733022,-0.483456225,-2.329074443,-3.449284614,-4.072468238,-3.622501771,-3.081639793
IGR37,Medium Expression,IGR37,-0.116341631,-0.119270747,-0.81816375,-0.930408834,-3.198675651,-4.483653169,-4.045895224,-4.161194295
IGR39,High Expression,IGR39,0.410145757,-0.427360911,-0.006323264,-0.571247401,-3.879383185,-3.975911601,-3.597531708,-4.061231007
GAMG,High Expression,GAMG,-0.225008415,-0.291634014,0.060283372,-1.405147588,-3.890686311,-4.111381399,-4.070212553,-4.003852041
OCIAML2,Low Expression,OCIAML2,-0.056500682,-0.06682449,-0.546640813,-3.330599427,-3.451039445,-3.032729293,-3.421423813,-3.80328507
OCIAML5,High Expression,OCIAML5,-0.217499377,0.149398102,-0.087099415,-2.959178352,-3.279980949,-4.564956074,-3.94304956,-3.726845897
DANG,Medium Expression,DANG,-0.410617696,-0.586051479,-0.259784391,-2.950161307,-3.423851586,-4.08367535,-4.954642799,-4.167752022
IPC298,Medium Expression,IPC298,0.096201334,-0.247847998,-0.048248822,-1.601203908,-3.449243976,-3.943925471,-3.880941276,-3.599677892
MONOMAC1,High Expression,MONOMAC1,-0.17518999,-0.176250083,0.089678803,-2.037392801,-3.482470603,-4.047189858,-3.875250413,-4.494181828
BEN,High Expression,BEN,0.336485791,0.081659085,0.318803017,-1.248296578,-3.378552353,-4.427431724,-4.498575457,-3.723066285
CADOES1,High Expression,CADOES1,0.173460092,-0.179334394,-0.099534195,-2.752775401,-3.114286147,-3.637569105,-3.742106432,-3.758697879
COLO783,High Expression,COLO783,-0.043791261,-0.078441066,0.018776227,-3.465768054,-4.077060777,-3.7565441,-3.903802745,-3.758321954
EFM192A,Low Expression,EFM192A,0.099371919,-0.083788318,0.092010172,-1.317986099,-2.191204661,-3.820218791,-3.350535279,-3.628491319
HUPT3,High Expression,HUPT3,0.188511874,-0.032862174,0.068581739,-4.365729046,-3.619778481,-4.106989242,-4.427564262,-3.090437826
COLO679,High Expression,COLO679,0.311629945,-0.298844875,-0.201769782,-2.233541236,-3.389842776,-4.247696184,-4.368370537,-3.97360993
LXF289,High Expression,LXF289,0.115740235,0.004154259,-0.023971935,-1.681861355,-3.237877998,-4.256798436,-3.438181888,-3.979162881
DKMG,High Expression,DKMG,-0.188429546,-0.448255645,-0.045674921,-0.458437637,-3.926627865,-4.013032964,-3.027227663,-3.962029189
CAL51,High Expression,CAL51,0.225531302,0.106797324,-0.723519547,-2.759428008,-3.848395619,-3.835399308,-3.764069278,-3.589870926
DV90,High Expression,DV90,-0.270788473,0.147568543,-0.016087604,-1.549502898,-3.688955812,-3.572720219,-3.489907164,-3.390884393
EFM19,Low Expression,EFM19,-0.26126758,-0.188577755,-0.317876773,-2.894370012,-2.732282855,-2.975686343,-3.335115685,-3.58003243
SISO,Medium Expression,SISO,-0.199335978,0.329367866,-0.352344073,-2.942613009,-4.448134681,-4.388399468,-4.504797924,-4.393833147
DEL,High Expression,DEL,-0.311545648,-0.126957763,-0.368207779,-2.878051213,-3.421280765,-3.950975139,-3.656429135,-3.315950362
GRANTA519,High Expression,GRANTA519,-0.136864142,-0.25408329,0.012074651,-2.203269918,-2.876948241,-2.459047458,-2.283724576,-2.487218417
TFK1,High Expression,TFK1,-0.258830235,-0.323367087,0.194911057,-3.909922045,-3.52963828,-4.575221041,-3.73995913,-4.21932431
KYSE140,Medium Expression,KYSE140,-0.072810921,-0.280467479,-0.25406502,-3.183781521,-2.761776845,-2.505769794,-2.273749511,-2.026355893
KYSE30,High Expression,KYSE30,0.177634774,-0.294195526,-0.169783502,-2.915331401,-3.365533034,-4.112026503,-3.732880108,-3.272686475
KELLY,High Expression,KELLY,0.2570619,-0.060635138,-0.28243747,-1.030545351,-2.931395781,-3.287982776,-2.959952601,-3.049775558
KYSE70,Medium Expression,KYSE70,0.116226683,-0.091679778,-0.621756697,-3.207742312,-3.238150598,-4.045832943,-3.760769234,-3.05062929
CAL54,High Expression,CAL54,0.501216776,0.561185955,0.510687785,-0.301711394,-2.736260897,-3.260753634,-2.836506226,-4.984365005
BFTC909,High Expression,BFTC909,0.228454161,-0.159769731,-0.011947768,-1.583777629,-3.317867848,-3.417847119,-3.48381927,-3.527603322
SR786,High Expression,SR786,-0.002159543,-0.45105419,-1.740121563,-3.535223153,-3.78893232,-3.765235014,-4.255767714,-3.768782975
KYSE520,Medium Expression,KYSE520,0.003335261,0.207305569,0.058507894,-1.270314078,-3.239493239,-3.162965183,-4.293737733,-2.791410068
SCLC21H,High Expression,SCLC21H,-0.159771428,0.488715088,-0.817864747,-1.885872302,-2.162547066,-2.908170001,-2.497765911,-2.523973017
KYSE510,Medium Expression,KYSE510,-0.071185036,0.078792743,-0.10046747,-3.267913743,-3.329428323,-3.590581508,-4.066157521,-3.2433735
KYSE150,High Expression,KYSE150,0.118361621,-0.215612902,-0.333833728,-3.067599386,-3.298412875,-3.385979414,-3.732198314,-3.530059036
KYSE180,Low Expression,KYSE180,0.095119607,0.082337989,-0.052604727,-2.847832215,-3.097518976,-3.550647552,-3.561099956,-3.068751824
KYSE270,High Expression,KYSE270,0.185318255,0.029760793,0.139051706,-2.625953258,-3.731505084,-3.874243592,-4.212929505,-4.077500556
KYSE410,Medium Expression,KYSE410,0.094475481,0.295775906,-0.238617675,-4.41451499,-4.364045405,-4.795451825,-4.875336919,-4.185227345
YAPC,Medium Expression,YAPC,-0.145209361,0.153274814,0.026995496,-3.229994749,-3.168930213,-4.096453104,-3.357739561,-2.924072033
LCLC103H,High Expression,LCLC103H,0.113102159,-0.122824527,0.124001362,-1.444443635,-3.791615799,-4.327046504,-4.072861142,-3.806898702
EGI1,Medium Expression,EGI1,0.101728295,0.061066802,-0.188545164,-2.114653508,-3.912360289,-3.863835604,-3.862763436,-3.775977411
EOL1,High Expression,EOL1,-0.194812566,0.012364285,-0.113432743,-4.318725907,-4.257550166,-4.469427787,-5.174221114,-4.36744716
KYSE450,High Expression,KYSE450,-0.131818053,0.068990354,-0.20888037,-3.463854974,-3.468008978,-3.527007551,-3.243311458,-3.931285697
LOUNH91,High Expression,LOUNH91,-0.449343212,0.261404159,-0.569078668,-1.480389957,-2.163304674,-2.838096057,-3.576575119,-3.804962785
TANOUE,High Expression,TANOUE,-0.012848606,-0.069307573,-0.045937999,-1.606678524,-2.458854081,-2.649596719,-2.648394927,-2.7467874
BHY,High Expression,BHY,-0.296951909,0.042562,-0.036648701,-2.030259261,-3.879681609,-3.731554588,-4.058449425,-4.124363043
GOS3,High Expression,GOS3,0.148481871,0.279454844,0.082505011,-1.425793622,-3.466152265,-3.661040231,-3.993723939,-3.431189587
MFE280,Low Expression,MFE280,-0.044013892,-0.385877081,-1.516968204,-3.748316331,-2.826763058,-2.879004586,-3.497836703,-2.496031254
MFE296,High Expression,MFE296,-0.178194318,0.195006432,0.001130146,-2.977865483,-3.262388897,-3.418978924,-3.49452562,-3.548170797
MFE319,Medium Expression,MFE319,0.414384586,0.236697361,-0.018604845,-3.209007352,-3.915670223,-4.932595742,-3.726021864,-4.557555469
42MGBA,High Expression,42MGBA,0.151676094,-0.091160496,-0.346425551,-4.074804472,-3.126961714,-3.552344578,-3.594167025,-4.137831973
8MGBA,High Expression,8MGBA,0.407861563,0.204753694,-0.200320047,-1.374473774,-3.607682407,-3.855745116,-4.381973388,-3.931210283
CAL72,High Expression,CAL72,0.269914266,-0.343196826,-0.023498849,-1.040212452,-2.783831586,-2.985746294,-3.345095182,-3.914811382
CAL12T,Medium Expression,CAL12T,0.255871233,0.113665984,-0.693458525,-2.999932376,-3.665240179,-3.733264798,-3.454994439,-2.686472667
CAL78,High Expression,CAL78,0.040719435,-0.532570479,-0.379408221,-0.461714082,-3.528517981,-4.173488886,-3.830659655,-4.056182972
CAL120,Medium Expression,CAL120,-0.369387981,-0.059350188,-0.203872321,-2.645865484,-3.344610061,-3.291217318,-3.31255106,-3.838585361
CAL148,Medium Expression,CAL148,0.029299382,-0.278615783,-0.1320855,-0.803022823,-1.601391701,-3.165119577,-3.533538579,-2.902454384
ESS1,High Expression,ESS1,-0.174594666,-0.165722897,0.469948724,-1.971729722,-3.189099523,-3.478299246,-3.042708948,-4.354608128
CL11,High Expression,CL11,-0.231315417,-0.675135396,-0.312966235,-3.270838513,-3.964616403,-4.292513587,-4.248979726,-3.782961659
DOHH2,High Expression,DOHH2,-0.317936487,-0.346297704,-0.393600854,-3.871201247,-5.076795827,-5.222040024,-4.606196813,-4.524238798
RH30,Medium Expression,RH30,0.006508228,0.038824539,-0.133260249,-2.236512112,-2.814758913,-3.38467975,-3.028630369,-3.519674801
L363,High Expression,L363,-0.170643575,-0.05733078,-0.277434925,-1.920833431,-3.013610413,-3.014060164,-3.117238763,-3.456204801
HCC15,High Expression,HCC15,0.053092632,-0.311817194,-0.783125908,-3.541748281,-3.646493102,-3.040341234,-4.401954845,-4.303814847
ONCODG1,High Expression,ONCODG1,0.051827662,-0.419082749,0.109925751,-1.190494692,-3.340270181,-4.15061919,-3.067966653,-3.316991375
TT2609C02,Medium Expression,TT2609C02,-0.07360812,-0.117511308,-0.035190642,-1.063498646,-3.055348014,-3.74067306,-3.736945341,-4.389919887
ALLSIL,High Expression,ALLSIL,0.342094029,0.04767764,0.162874196,-1.094662741,-1.947492322,-2.83435447,-2.65191131,-2.121566578
KCL22,Medium Expression,KCL22,-0.024869313,-0.423972019,0.085323891,-2.282531083,-4.382667205,-4.562189999,-4.340106187,-4.395388331
CL34,High Expression,CL34,-0.486485795,-0.553976128,0.479070361,-1.703660224,-3.600134622,-3.786107376,-3.322780897,-4.244613197
OCIM1,Medium Expression,OCIM1,-0.712533428,-0.044312309,-1.197213693,-2.392986722,-3.445654868,-3.945994182,-3.397648547,-3.37121138
JURLMK1,High Expression,JURLMK1,0.130496486,-0.145776127,-0.379254294,-2.417265867,-3.889491373,-4.888294822,-4.211645981,-4.193044867
HCC44,High Expression,HCC44,0.069330555,-0.118624732,-0.297804446,-2.023710709,-3.10283793,-3.782294187,-3.593658329,-3.688055152
AMO1,Low Expression,AMO1,0.169908795,-0.320144594,-1.794893497,-2.692264832,-4.854644667,-4.226494385,-4.041091032,-4.106146276
PL21,High Expression,PL21,0.079399747,0.609536862,-0.694700413,-3.777026386,-3.132892821,-4.401652601,-4.450897851,-4.186894474
JJN3,High Expression,JJN3,-0.185029794,0.435182371,-0.080992314,-1.221636211,-2.711378745,-2.777789935,-3.784939401,-4.058772525
SEM,High Expression,SEM,-0.151380027,-0.058633245,0.394946874,-2.737079855,-3.529610266,-3.55252189,-3.989865545,-3.992225261
RCHACV,Medium Expression,RCHACV,0.028773647,-0.233206176,-0.579776948,-3.078201327,-2.681940862,-3.432818255,-3.758458335,-3.740572049
KOPN8,Medium Expression,KOPN8,0.045990943,-0.24023801,0.384841545,0.72363282,-3.588413246,-3.847777982,-4.040973656,-3.843862437
JEKO1,High Expression,JEKO1,-0.096335884,-0.476725141,-0.629982154,-1.299044262,-2.955041067,-2.221242963,-2.648873726,-2.228503857
MOLM13,High Expression,MOLM13,0.307206735,-0.360928918,-0.072887443,-3.961924903,-4.886073492,-4.752595565,-4.409110388,-4.515422783
RCK8,High Expression,RCK8,0.00048439,0.138588152,-0.284539209,-0.652201473,-2.608718159,-3.191974086,-3.460079088,-2.922619733
HCC78,High Expression,HCC78,-0.027376072,0.097685614,-0.102002877,-0.817688186,-3.396215816,-3.542301705,-4.805318767,-3.691616659
EN,High Expression,EN,0.374802893,-0.713737564,0.200108673,-1.208904966,-3.187575361,-3.328621378,-2.460227199,-3.354833091
SUDHL8,High Expression,SUDHL8,-0.643411932,-0.545240739,-0.263796384,-1.389948771,-2.562664713,-3.973210004,-3.005820593,-3.018724164
WSUDLCL2,Medium Expression,WSUDLCL2,0.100707637,-0.004675193,-0.106715837,-2.138969805,-3.651716077,-4.341181749,-4.417823608,-4.380814618
OCIAML3,Low Expression,OCIAML3,0.397393777,0.232280164,0.052497352,-3.470234007,-3.871853156,-4.34577802,-4.419198872,-3.911623134
RI1,High Expression,RI1,0.001394675,-0.213750374,0.08406874,-2.368910666,-3.078759218,-2.691006734,-2.124582892,-2.867079196
VAL,High Expression,VAL,0.257912242,0.34452331,-0.367040993,-3.086467533,-3.132488164,-2.935666651,-4.763505294,-4.373233757
JIMT1,Low Expression,JIMT1,0.073988996,-0.148629491,-0.119739694,-1.477660132,-3.127242038,-3.35931018,-2.613132529,-2.449167722
BLUE1,High Expression,BLUE1,-0.16981497,0.332308125,0.061489388,-3.996924979,-3.708649053,-4.574977142,-4.273559061,-3.922088054
JL1,Medium Expression,JL1,-0.826097331,-1.511892384,-0.425521445,-0.845805045,-2.879894421,-3.945568441,-4.129830455,-3.495329041
KYO1,Low Expression,KYO1,0.059636685,0.127742668,0.035838673,-1.677778902,-2.8472577,-3.319397478,-3.755628003,-3.579555626
MOLP2,Medium Expression,MOLP2,0.102710194,-0.067627992,-1.155867197,-3.708035704,-3.512369217,-4.17811728,-4.57531555,-3.652788762
MELHO,Medium Expression,MELHO,-0.400972283,-0.254220385,0.39302988,-1.882008422,-3.733928583,-3.545743854,-3.816655908,-3.524377165
MB1,High Expression,MB1,-0.312650346,-0.042791248,-0.522267131,-4.593570923,-4.320334682,-4.375345299,-5.273434746,-4.218723958
GIMEN,Medium Expression,GIMEN,0.087823053,-0.502776452,-0.052918236,-2.630500842,-4.229040209,-4.853814415,-3.921298179,-3.865127839
UPCISCC116,Low Expression,UPCISCC116,-0.170569739,-0.101295103,-0.636015993,-2.185615547,-3.621522966,-4.122833563,-4.309814852,-4.013369831
UPCISCC111,Low Expression,UPCISCC111,-0.073541708,0.195858653,-0.221068516,-2.708715434,-3.649007289,-3.807689443,-4.226358011,-3.573126909
LS,Medium Expression,LS,-0.058729447,-0.362891345,-0.091993899,-2.850437701,-3.248429848,-3.783236985,-5.100216597,-3.617705795
UPCISCC072,High Expression,UPCISCC072,-0.572578809,-0.415818742,0.080577624,-2.600011711,-4.108688428,-4.652019523,-3.857702476,-3.813421128
OACM51,Medium Expression,OACM51,-0.212682575,-1.326826878,-0.892441131,-2.795975344,-3.711066383,-3.016774385,-3.931138531,-3.699842742
PACADD119,High Expression,PACADD119,-0.320772392,-0.632890412,-0.478884389,-2.516007765,-3.749529566,-3.621501557,-3.237906375,-3.111016564
PACADD137,Medium Expression,PACADD137,0.536435854,-0.080628053,-1.40826399,-2.253458065,-3.408718338,-1.970029626,-3.641849178,-1.488756765
MELJUSO,Medium Expression,MELJUSO,-0.108714834,-0.080103576,0.102148363,-0.474232876,-3.48566813,-4.219027891,-3.710676989,-3.667816163
JOPACA1,High Expression,JOPACA1,0.49985104,0.250490165,0.018142482,-0.619127833,-2.753049918,-3.775766176,-3.742894272,-3.947257937
PACADD161,High Expression,PACADD161,-0.046046886,0.246089293,-0.002103337,-1.943503453,-3.777276766,-3.67650228,-5.078281275,-3.787422966
MOLM14,High Expression,MOLM14,0.12288641,0.249199511,0.117851256,-3.464174177,-4.565148761,-3.890232921,-3.797399783,-4.123622482
KMH2,High Expression,KMH2,-0.175788949,-0.095486611,0.172050086,-1.329032881,-4.421549346,-4.660465358,-4.03427146,-3.56289025
HCC33,Low Expression,HCC33,-0.640828013,-0.681352131,-0.440729066,-0.609349804,-2.382303796,-3.409732025,-3.111002826,-3.111085033
HDQP1,Medium Expression,HDQP1,-0.142510024,-0.06236785,-0.321960678,-2.718750509,-3.80388418,-3.738900657,-4.155305507,-4.000835858
CI1,High Expression,CI1,-0.206958777,-0.584764019,-0.619559842,-1.43314275,-2.764952888,-3.697549032,-3.102990932,-3.138420582
LN382,High Expression,LN382,-0.309797689,-0.366806583,-0.067196291,-2.704992844,-3.196560559,-4.611412787,-4.935416471,-3.74021449
UACC62,High Expression,UACC62,0.105890532,0.004841399,0.096490762,-1.516612578,-3.476342913,-4.150598041,-4.242994806,-4.168302645
SF295,High Expression,SF295,-1.035757127,-0.89351088,-0.279286732,-1.07988629,-2.419317516,-3.493656111,-3.653214987,-3.868238433
MCC142,High Expression,MCC142,-0.022197708,-0.292794648,-0.524993338,-4.397579127,-4.139366734,-3.803338305,-4.015947277,-4.146689695
MCC26,High Expression,MCC26,0.049817597,-0.050788475,-0.044446426,-2.866057004,-2.369260563,-2.424085493,-3.16390357,-3.862036555
MM127,Medium Expression,MM127,0.191957504,0.122035702,-0.408824082,-2.112742746,-3.517124381,-4.325217263,-3.531402671,-3.900709006
NCIH508,High Expression,NCIH508,0.056179069,-0.136285426,-0.487340957,-1.50425388,-3.319308985,-4.93376876,-4.55098518,-4.13985856
SW13,High Expression,SW13,-0.137021831,-0.156607102,-0.315066548,-3.748245613,-3.272130611,-4.130609273,-3.095336791,-4.038778568
HT1080,High Expression,HT1080,-0.736521744,-0.147437841,0.172734599,-0.346348907,-3.317735949,-3.126575901,-2.803120734,-4.276952926
DETROIT562,Low Expression,DETROIT562,0.082323336,-0.246376955,0.022161627,-3.899453782,-3.815854063,-4.309716891,-3.761547387,-4.236490558
A549,Low Expression,A549,-0.015946342,0.06385374,0.261642904,-2.265463714,-3.054213619,-4.201600543,-3.460167128,-3.269021076
HCT15,Medium Expression,HCT15,-0.145719372,-0.47424769,0.009378146,-2.769125909,-3.506575352,-3.904075506,-4.167431057,-4.001339985
SW620,High Expression,SW620,0.019896354,-0.019828403,-0.148632131,-2.982636282,-2.906985874,-4.210560386,-3.402785134,-4.075280317
SW480,Low Expression,SW480,-0.167877671,-0.022398928,0.397621069,-1.121160631,-2.496320543,-3.793382265,-3.113332031,-2.595697257
LOVO,Medium Expression,LOVO,0.295601166,-0.755244314,0.148122908,-2.891353239,-1.954667582,-3.33830584,-2.673547563,-2.729695269
SW1463,High Expression,SW1463,0.136334431,-0.311989421,-0.636667949,-2.276320315,-2.743599066,-4.393464584,-4.520473296,-4.951285372
SW837,High Expression,SW837,-0.50035317,-0.734348487,-0.339377929,-0.098772624,-2.733077494,-2.937390247,-3.552866089,-4.392030791
SW948,Medium Expression,SW948,-0.104862915,-0.160391399,0.31335361,-2.544926214,-2.588267024,-2.921924888,-4.592297222,-3.207172184
K562,High Expression,K562,-0.19271154,-0.005052511,-0.292933337,-2.81717816,-3.48579664,-3.701810255,-3.672476136,-4.653868297
HCT116,High Expression,HCT116,0.118844888,-0.116780474,0.190179009,-2.007772244,-3.445127187,-4.170099293,-4.262516214,-3.379667985
T84,Medium Expression,T84,0.558805472,-0.388426942,0.422979531,-2.262919374,-3.458806403,-4.367894038,-3.931646349,-3.926117714
SNUC2A,High Expression,SNUC2A,-0.063449726,-0.590146857,-0.17212715,-2.567284842,-2.986527173,-3.17820146,-3.733921094,-3.16114259
