comparison,p_value,statistic,delta
High vs Medium Expression,0.002125566184310457,3.082941490952044,0.2669129764458087
Medium vs Low Expression,0.24776180199184258,1.157929328879805,0.17566074017636302
High vs Low Expression,0.0010732633980905049,3.2874989052585546,0.4425737166221717
