gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
PABPC4L	263.8681	0.7655	0.2163	3e-04	6e-04
PABPN1	2451.0146	0.7368	0.0826	0	0
PACRG	1.0119	-0.352	1.2147	0.3944	NA
PACRGL	85.9896	-1.1916	0.3627	6e-04	0.0011
PACS1	1634.6524	0.8653	0.0932	0	0
PACS2	1468.1766	1.2217	0.0955	0	0
PACSIN1	1.7372	0.3506	1.1576	0.4814	0.5663
PACSIN2	955.9459	-1.3809	0.1226	0	0
PACSIN3	504.5891	-1.0403	0.1574	0	0
PADI1	26.8635	-0.446	0.5716	0.3759	0.4608
PADI2	47.3893	1.2138	0.4609	0.0043	0.0078
PADI3	1.5146	0.4119	1.1951	0.3612	0.4473
PAF1	1246.4975	-0.0112	0.1045	0.914	0.9377
PAFAH1B1	1773.3893	-2.8906	0.1019	0	0
PAFAH1B2	2359.0029	0.7656	0.0829	0	0
PAFAH1B3	1025.9229	1.0896	0.1201	0	0
PAFAH2	200.2631	-1.5587	0.2505	0	0
PAG1	14.5351	-2.1056	0.9226	0.0014	0.0026
PAGR1	1183.8525	0.3757	0.1039	3e-04	6e-04
PAICS	10249.2863	0.9258	0.0559	0	0
PAIP1	1354.639	-0.4177	0.1024	0	1e-04
PAIP2	763.3459	0.0496	0.126	0.6921	0.758
PAIP2B	11.0815	-0.5876	0.7988	0.3352	0.4202
PAK1	254.7463	-0.3905	0.2124	0.0617	0.0943
PAK1IP1	779.2361	-0.7279	0.1442	0	0
PAK2	2971.4548	-0.0573	0.0731	0.4328	0.5186
PAK3	1.8992	0.5615	1.1552	0.2747	0.3544
PAK4	2111.3416	0.1759	0.0867	0.042	0.0664
PAK6	85.3045	-1.1165	0.3889	0.0024	0.0044
PAK7	0.8908	-0.0945	1.2054	0.8203	NA
PALB2	182.9338	-1.1436	0.2668	0	0
PALD1	158.4816	-0.1602	0.2675	0.5387	0.6207
PALLD	118.6558	-0.6128	0.3149	0.0436	0.0687
PALM	1103.0771	0.6273	0.1129	0	0
PALM2	42.7762	0.3294	0.467	0.4439	0.5295
PALM2-AKAP2	197.8595	0.2392	0.734	0.684	0.7506
PALM3	11.195	-0.8453	0.8072	0.1684	0.2318
PALMD	0.1898	-0.0377	1.2501	0.9042	NA
PAM	1205.016	1.4448	0.1055	0	0
PAM16	268.7067	-0.0211	0.2138	0.92	0.9425
PAN2	488.7755	0.8495	0.1542	0	0
PAN3	385.5808	-1.4295	0.1929	0	0
PAN3-AS1	38.2419	1.178	1.14	0.0422	0.0668
PANDAR	0.3418	0.1456	1.2516	0.6419	NA
PANK1	238.9119	-0.9098	0.2204	0	1e-04
PANK2	896.9512	1.9891	0.1219	0	0
PANK3	594.3292	-0.3613	0.1426	0.0107	0.0185
PANK4	497.9986	-0.5864	0.1599	2e-04	4e-04
PANO	26.7661	0.6553	0.5748	0.1949	0.2636
PANX1	787.2651	0.6156	0.131	0	0
PANX2	163.1299	1.4122	0.2669	0	0
PAOX	52.2774	-0.7094	0.4401	0.0829	0.1232
PAPD4	366.2465	-2.5365	0.2043	0	0
PAPD5	628.5115	-0.9287	0.1487	0	0
PAPD7	684.137	-1.8128	0.1446	0	0
PAPLN	110.5936	0.9339	0.3403	0.0042	0.0076
PAPOLA	6047.545	0.6308	0.06	0	0
PAPOLG	161.1424	-2.7298	0.318	0	0
PAPPA	4.0529	0.6051	1.0296	0.3163	0.4002
PAPPA2	5.4426	0.5505	0.948	0.3766	0.4613
PAPSS1	2036.84	1.0949	0.0931	0	0
PAPSS2	1870.6307	1.3378	0.1136	0	0
PAQR3	633.0942	-1.1454	0.1569	0	0
PAQR4	1494.6648	-0.9029	0.1021	0	0
PAQR5	438.1315	-0.3521	0.2125	0.0922	0.1355
PAQR6	12.8717	-0.785	0.7907	0.1971	0.2659
PAQR7	483.6807	-2.8875	0.1896	0	0
PAQR8	107.7962	-0.3518	0.3235	0.2585	0.3363
PAQR9	0.8556	0.213	1.2122	0.6015	NA
PARD3	967.9688	-0.3609	0.1136	0.0014	0.0027
PARD3B	376.0317	-0.4148	0.1814	0.0207	0.0343
PARD6A	220.8729	0.7296	0.2296	0.0012	0.0023
PARD6B	1038.1471	0.9634	0.1108	0	0
PARD6G	146.1492	-0.422	0.2789	0.1196	0.1711
PARD6G-AS1	20.5738	-1.6196	0.761	0.0074	0.013
PARG	623.7239	-1.3596	0.1563	0	0
PARK2	1.236	-0.1816	1.2003	0.6712	NA
PARK7	7363.9794	1.3859	0.0575	0	0
PARL	689.4602	0.6473	0.1383	0	0
PARM1	31.8579	1.6516	0.5798	0.0012	0.0023
PARN	563.7223	-0.7767	0.1467	0	0
PARP1	9764.5668	1.0901	0.052	0	0
PARP10	303.9165	0.3428	0.1913	0.0694	0.105
PARP11	22.838	-1.9239	0.7059	9e-04	0.0018
PARP12	68.0164	-0.3978	0.3854	0.2755	0.3553
PARP14	763.3062	0.2281	0.1302	0.078	0.1167
PARP16	86.1119	-2.2675	0.4018	0	0
PARP2	332.1343	-2.404	0.2108	0	0
PARP3	123.2928	0.3511	0.2921	0.215	0.2868
PARP4	1135.6028	0.648	0.1082	0	0
PARP6	264.963	0.3499	0.2038	0.0814	0.1212
PARP8	165.5726	-0.0378	0.2813	0.89	0.9184
PARP9	235.9677	-0.8149	0.2445	7e-04	0.0013
PARPBP	506.2337	-0.1776	0.1614	0.2668	0.3457
PARS2	162.9322	-0.3937	0.2644	0.1267	0.1802
PART1	0.1897	-0.0376	1.2501	0.9044	NA
PARVA	2591.8976	0.6441	0.0807	0	0
PARVB	11.359	0.6352	0.7777	0.2929	0.3745
PASK	358.9433	-0.7745	0.202	1e-04	2e-04
PATL1	736.2069	-0.8825	0.1305	0	0
PATZ1	716.2034	-0.856	0.1346	0	0
PAWR	2143.6383	0.3217	0.0997	0.0012	0.0023
PAX2	221.3637	-2.1182	0.2505	0	0
PAX6	194.9143	-1.5384	0.256	0	0
PAX8	918.3729	-2.9722	0.1376	0	0
PAX8-AS1	60.0821	1.4696	0.4183	2e-04	4e-04
PAX9	8.1512	-1.3557	1.0104	0.0336	0.0539
PAXBP1	704.1849	0.1957	0.1307	0.1318	0.1867
PAXBP1-AS1	11.3013	0.5168	0.77	0.3898	0.4752
PAXIP1	531.3941	-1.2661	0.1554	0	0
PAXIP1-AS1	116.8609	0.8741	0.3073	0.0032	0.0059
PAXIP1-AS2	8.7024	-0.8576	0.8762	0.1714	0.2355
PBDC1	197.3399	-0.9866	0.2558	1e-04	2e-04
PBK	1145.9989	-0.4315	0.1084	1e-04	1e-04
PBLD	24.9816	0.1856	0.5926	0.7195	0.7819
PBRM1	1621.2933	-0.2467	0.0974	0.011	0.019
PBX1	243.198	-0.7436	0.2177	5e-04	0.001
PBX2	1596.9415	-0.0429	0.092	0.6396	0.7119
PBX3	190.2757	-1.0316	0.2478	0	0
PBX4	38.1017	-1.4332	0.5302	0.0026	0.0048
PBXIP1	465.1782	0.2972	0.1621	0.0642	0.0977
PC	341.5351	0.7406	0.1827	0	1e-04
PCAT1	0.6945	-0.0093	1.2309	0.9795	NA
PCAT14	13.5353	-0.3871	0.733	0.5099	0.5932
PCAT18	0.7032	-0.0078	1.2303	0.9828	NA
PCAT6	8.3184	0.7762	0.8585	0.2133	0.2848
PCBD1	2818.598	1.3566	0.0744	0	0
PCBD2	94.8788	-1.023	0.3404	0.0017	0.0032
