gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZNF318	767.6627	0.0461	0.103	0.2233	0.8832
ZNF319	452.2914	0.0602	0.1008	0.1531	0.8598
ZNF32	443.1922	-0.0574	0.1031	0.1491	0.8598
ZNF32-AS2	3.1352	0.0075	0.1163	0.229	NA
ZNF320	678.5696	0.0309	0.0977	0.4641	0.9271
ZNF321P	59.7216	0.0247	0.109	0.308	0.8998
ZNF322	722.8263	0.0074	0.0981	0.856	0.988
ZNF324	308.2859	0.0358	0.1012	0.3523	0.908
ZNF324B	156.3485	0.0279	0.1039	0.4093	0.9187
ZNF326	997.76	0.028	0.0956	0.5264	0.9416
ZNF329	219.3877	0.0397	0.1032	0.2778	0.8948
ZNF330	547.3183	-0.0366	0.0981	0.3855	0.9152
ZNF331	418.188	0.0262	0.0984	0.5229	0.9416
ZNF333	109.8461	-6e-04	0.105	0.9834	0.9966
ZNF335	458.5351	0.0726	0.1028	0.0891	0.8072
ZNF337	327.533	0.0249	0.1005	0.5147	0.941
ZNF33A	562.3949	-0.0039	0.098	0.9246	0.9934
ZNF33B	287.2024	0.0066	0.1016	0.8527	0.9876
ZNF33BP1	0.4578	-0.0013	0.1206	0.6493	NA
ZNF34	62.8089	-0.0014	0.1073	0.9542	0.9956
ZNF341	192.0244	0.0565	0.1071	0.1157	0.8296
ZNF343	229.7428	0.0013	0.1008	0.9715	0.9959
ZNF345	33.9438	0.0175	0.1099	0.3845	0.9151
ZNF346	345.6194	-0.0038	0.1001	0.9199	0.9932
ZNF347	287.5382	0.0409	0.1059	0.2223	0.8832
ZNF35	175.1211	0.0193	0.1028	0.5755	0.955
ZNF350	106.9126	-0.0054	0.1049	0.8561	0.988
ZNF354A	314.1623	-0.0382	0.1007	0.3314	0.9014
ZNF354B	83.5909	0.0242	0.1072	0.3815	0.9133
ZNF354C	128.116	0.0017	0.1055	0.9527	0.9956
ZNF358	1701.3796	-0.0147	0.0967	0.7297	0.9759
ZNF362	501.6791	0.078	0.1028	0.0739	0.7897
ZNF365	59.0774	0.001	0.1075	0.967	0.9956
ZNF367	686.5659	0.0241	0.0967	0.5737	0.9544
ZNF37A	508.7958	0.0453	0.1051	0.2005	0.874
ZNF37BP	150.0692	0.0012	0.1054	0.9668	0.9956
ZNF382	92.397	0.0138	0.1065	0.6119	0.9585
ZNF383	61.756	-0.013	0.1079	0.5857	0.9552
ZNF384	1436.5687	0.0587	0.0948	0.2076	0.8771
ZNF385A	1132.2489	0.0068	0.0941	0.8793	0.9899
ZNF385B	90.8558	-0.0217	0.1066	0.4432	0.9232
ZNF385C	141.3412	-0.0199	0.1049	0.5212	0.9416
ZNF391	23.9585	-0.0128	0.1105	0.4512	0.9232
ZNF394	274.6724	0.0151	0.1002	0.6918	0.9715
ZNF395	421.2753	-0.0051	0.0984	0.8992	0.9908
ZNF396	10.5482	-0.0085	0.1117	0.4657	0.9277
ZNF397	167.1336	0.0304	0.1051	0.3472	0.9066
ZNF398	428.6891	0.0373	0.0996	0.3578	0.9092
ZNF404	4.4081	-0.0041	0.1125	0.6079	NA
ZNF407	327.7662	0.0109	0.1012	0.7656	0.9791
ZNF408	404.0468	0.0539	0.1009	0.1906	0.8684
ZNF41	181.9904	0.0147	0.1039	0.6491	0.9682
ZNF410	865.7919	0.0058	0.0946	0.896	0.9903
ZNF414	431.3706	0.0189	0.0997	0.6281	0.9637
ZNF415	155.9438	0.0071	0.1031	0.8314	0.9854
ZNF416	127.1527	0.0111	0.104	0.7267	0.9758
ZNF417	148.5349	0.0651	0.116	0.0374	0.7463
ZNF418	1.0496	0.004	0.1213	0.3088	NA
ZNF419	114.9069	0.0104	0.1053	0.7204	0.9753
ZNF420	157.2599	0.0164	0.104	0.6101	0.9583
ZNF423	655.3606	0.0351	0.0985	0.3985	0.9184
ZNF425	54.2606	0.0026	0.1077	0.9097	0.9927
ZNF426	188.5392	0.0331	0.1083	0.2388	0.886
ZNF428	1460.9784	-0.0289	0.0949	0.519	0.9416
ZNF429	111.5756	0.033	0.1082	0.2431	0.886
ZNF43	168.0105	0.0055	0.1026	0.8716	0.9894
ZNF430	158.2355	-0.0056	0.1036	0.8627	0.9887
ZNF431	105.6237	0.0101	0.1064	0.7063	0.9724
ZNF432	118.9205	0.0295	0.1065	0.3258	0.9001
ZNF433	106.1202	-0.0256	0.1067	0.3761	0.9119
ZNF436	330.1456	-0.0091	0.0992	0.8175	0.985
ZNF438	67.0269	-0.0069	0.1073	0.7775	0.9806
ZNF439	147.2287	-0.0412	0.1069	0.2018	0.874
ZNF44	154.0322	0.0135	0.1031	0.6866	0.9712
ZNF440	305.4462	0.0242	0.1011	0.5178	0.9416
ZNF441	144.8385	0.0201	0.1041	0.5348	0.9444
ZNF442	42.2948	-0.009	0.1087	0.6731	0.9707
ZNF443	147.2811	0.0051	0.1037	0.874	0.9894
ZNF444	716.224	0.0101	0.0977	0.8072	0.9839
ZNF445	1112.7735	0.0562	0.1048	0.1395	0.8585
ZNF446	247.2806	5e-04	0.1014	0.9886	0.9972
ZNF449	158.3338	-0.0045	0.1028	0.8931	0.9899
ZNF45	381.242	0.0505	0.1032	0.1894	0.8684
ZNF451	840.8787	0.0459	0.0991	0.2732	0.8919
ZNF460	92.0893	0.0719	0.1254	0.0104	0.5586
ZNF461	72.6863	0.0151	0.1074	0.5514	0.9489
ZNF462	341.0186	0.0594	0.1109	0.0746	0.7903
ZNF467	373.6287	-0.1031	0.1153	0.0177	0.6356
ZNF468	402.8731	0.0045	0.0986	0.9114	0.9928
ZNF469	18.9062	0.0114	0.111	0.4446	0.9232
ZNF470	146.8845	0.0378	0.1059	0.2482	0.8873
ZNF471	47.6894	-0.0278	0.1111	0.1914	0.8684
ZNF473	335.8924	0.024	0.1007	0.5279	0.9418
ZNF474	0.24	-7e-04	0.1199	0.7975	NA
ZNF48	721.5801	0.0495	0.0976	0.2568	0.89
ZNF480	437.2997	-0.0047	0.0983	0.9073	0.9922
ZNF483	8.0808	0.0089	0.1122	0.3929	0.9162
ZNF484	102.0059	0.0155	0.1064	0.5745	0.9544
ZNF485	49.6968	-0.0256	0.1097	0.2681	0.89
ZNF486	0.2289	-7e-04	0.1199	0.8029	NA
ZNF487	17.3647	-0.004	0.1105	0.7896	0.9836
ZNF488	224.7561	-0.0094	0.101	0.7983	0.9839
ZNF490	154.9664	-0.0019	0.103	0.9551	0.9956
ZNF491	45.0328	-0.0204	0.1095	0.3541	0.908
ZNF492	52.5706	-0.015	0.1083	0.5211	0.9416
ZNF493	101.5641	0.0053	0.1064	0.8421	0.986
ZNF496	1094.2581	0.0783	0.1039	0.069	0.7804
ZNF497	96.5266	-5e-04	0.1059	0.985	0.9967
ZNF500	232.4721	-0.0058	0.1011	0.8735	0.9894
ZNF501	0.4578	-0.0013	0.1206	0.6493	NA
ZNF502	51.7504	0.0049	0.1079	0.8297	0.9854
ZNF503	175.7728	0.015	0.1033	0.6535	0.969
ZNF503-AS1	0.72	-0.002	0.1208	0.5235	NA
ZNF503-AS2	33.4828	-0.0211	0.1111	0.2493	0.8873
ZNF506	3.9885	7e-04	0.1125	0.9268	NA
ZNF507	621.7254	0.0452	0.1023	0.2403	0.886
ZNF510	214.6388	0.0242	0.1033	0.48	0.932
ZNF511	739.1887	-0.0505	0.1007	0.2167	0.8785
ZNF512	685.6776	-0.0474	0.0988	0.2638	0.89
ZNF512B	1804.0618	0.0341	0.0961	0.4376	0.9227
ZNF513	102.6857	-0.0275	0.1065	0.3541	0.908
ZNF514	117.8132	0.0078	0.1055	0.7847	0.9821
ZNF516	211.0987	0.0359	0.1039	0.3061	0.8992
ZNF517	97.0367	-0.0056	0.1051	0.8473	0.9866
ZNF518A	805.9027	0.0805	0.1052	0.0595	0.7686
ZNF518B	526.1556	0.0279	0.0999	0.4772	0.9313
ZNF519	42.3854	0.0105	0.1093	0.6005	0.9581
ZNF521	0.237	9e-04	0.1201	0.7634	NA
ZNF524	243.742	-0.0399	0.1044	0.2569	0.89
ZNF525	260.109	0.013	0.101	0.724	0.9755
ZNF526	383.2229	0.0476	0.1005	0.2425	0.886
ZNF527	117.5526	-3e-04	0.1062	0.9909	0.9978
ZNF528	87.3119	0.0057	0.1056	0.8404	0.986
ZNF529	299.1602	0.0278	0.1008	0.4673	0.9284
ZNF530	117.1048	0.0358	0.1072	0.2412	0.886
ZNF532	2880.2033	0.0874	0.1062	0.045	0.7463
ZNF540	13.5806	0.0056	0.1111	0.6699	0.9698
ZNF541	0.2368	-7e-04	0.1199	0.7965	NA
ZNF542	227.1163	0.0035	0.101	0.9229	0.9934
ZNF543	182.5846	0.0367	0.1044	0.2893	0.8971
ZNF544	407.4855	0.027	0.0992	0.5019	0.9365
ZNF546	103.9565	0.031	0.1066	0.3036	0.8992
ZNF547	40.7162	0.0041	0.1084	0.8495	0.987
ZNF548	273.6867	0.0327	0.1016	0.385	0.9152
ZNF549	172.359	0.0516	0.1066	0.1427	0.8598
ZNF550	192.1824	0.0114	0.1032	0.7316	0.976
ZNF551	233.8884	0.0468	0.1063	0.173	0.8611
ZNF552	181.2427	-0.0445	0.105	0.2084	0.8771
ZNF554	107.1198	0.0016	0.1046	0.9576	0.9956
ZNF555	96.6766	-0.0153	0.1059	0.592	0.9562
ZNF556	0.2733	0.001	0.1202	0.7403	NA
ZNF557	157.7665	0.0258	0.1036	0.4467	0.9232
ZNF558	274.6017	-0.0176	0.1007	0.6389	0.9658
ZNF559	154.4272	0.0048	0.1033	0.8845	0.9899
ZNF559-ZNF177	23.3373	0.0052	0.1107	0.7228	0.9755
ZNF561	921.7709	-0.0129	0.0954	0.7694	0.9791
ZNF562	693.9499	0.0398	0.1014	0.3042	0.8992
ZNF563	30.3944	-0.0263	0.1121	0.1539	0.8598
ZNF564	193.113	-0.0177	0.1024	0.613	0.9588
ZNF565	57.9322	-0.0022	0.1074	0.9259	0.9934
ZNF566	237.825	0.0299	0.1033	0.3923	0.9162
ZNF567	150.8023	0.0406	0.1055	0.2315	0.8851
ZNF568	62.4159	0.0087	0.1072	0.7278	0.9758
