Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	1/59	0.4952650823581283	0.5641481046907662	0	0	1.483343074225599	1.0422890186487237	AURKB
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	1/59	0.4952650823581283	0.5641481046907662	0	0	1.483343074225599	1.0422890186487237	NOP53
Protein Glycosylation (GO:0006486)	2/145	0.49879101657162145	0.5676942628316277	0	0	1.2033328373753907	0.8369999057821549	PLOD3;MOGS
Apoptotic Process (GO:0006915)	3/232	0.5006949244655979	0.5676942628316277	0	0	1.1271414175344305	0.7797094269925146	CDK11A;CDK11B;HSPD1
Oxidative Phosphorylation (GO:0006119)	1/60	0.50108893322246	0.5676942628316277	0	0	1.458129847744901	1.0075264338038585	NDUFA5
Phosphatidylcholine Metabolic Process (GO:0046470)	1/60	0.50108893322246	0.5676942628316277	0	0	1.458129847744901	1.0075264338038585	NR1H2
Positive Regulation of Cell Cycle (GO:0045787)	1/60	0.50108893322246	0.5676942628316277	0	0	1.458129847744901	1.0075264338038585	LONP1
Fatty Acid Catabolic Process (GO:0009062)	1/60	0.50108893322246	0.5676942628316277	0	0	1.458129847744901	1.0075264338038585	ACAA1
Protein Targeting to Mitochondrion (GO:0006626)	1/60	0.50108893322246	0.5676942628316277	0	0	1.458129847744901	1.0075264338038585	HSPD1
Antimicrobial Humoral Response (GO:0019730)	2/147	0.5060558280283965	0.5724366079395288	0	0	1.1866177549523111	0.8082151824940494	RPL30;FAU
Positive Regulation of Metabolic Process (GO:0009893)	2/147	0.5060558280283965	0.5724366079395288	0	0	1.1866177549523111	0.8082151824940494	GRB2;ADIPOR1
Organic Cation Transport (GO:0015695)	1/61	0.5068458659581904	0.5724468717216541	0	0	1.4337570621468927	0.9743072222669673	SLC38A2
