Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Myoblast Differentiation (GO:0045663)	1/41	0.37806495589739936	0.4832111816439298	0	0	2.1527542372881356	2.0939609198450384	SMARCE1
Vitamin Transport (GO:0051180)	1/41	0.37806495589739936	0.4832111816439298	0	0	2.1527542372881356	2.0939609198450384	SLC2A1
Protein Processing (GO:0016485)	2/115	0.3823124138623144	0.4882142846011785	0	0	1.5250611937488232	1.4663725189517642	APH1A;STOML2
Regulation of Glycolytic Process (GO:0006110)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	EIF6
Notch Signaling Pathway (GO:0007219)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	APH1A
Regulation of Receptor-Mediated Endocytosis (GO:0048259)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	ARF1
Response to cAMP (GO:0051591)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	CRTC2
Positive Regulation of Double-Strand Break Repair via Homologous Recombination (GO:1905168)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	RNF126
Lysosome Localization (GO:0032418)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	RAB34
Negative Regulation of DNA Recombination (GO:0045910)	1/42	0.38523483340020026	0.488964732263804	0	0	2.100144687887557	2.00333258298395	C1QBP
Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)	2/116	0.3863955152141749	0.48959016880205747	0	0	1.5116088092571855	1.4373794195037277	RPL30;FAU
Regulation of DNA Metabolic Process (GO:0051052)	2/116	0.3863955152141749	0.48959016880205747	0	0	1.5116088092571855	1.4373794195037277	TAF10;SIRT7
Positive Regulation of Gene Expression (GO:0010628)	6/436	0.3869260828830297	0.48983906520425	0	0	1.2039867109634552	1.1432113935876695	DDX3X;EIF6;CSDE1;EEF2;SLC38A2;OVOL2
Cellular Component Assembly (GO:0022607)	4/275	0.3898914386564075	0.4931672554532299	0	0	1.2727301521942258	1.1987679098042214	BECN1;CSNK2B;DVL1;SLC2A1
Neural Crest Cell Development (GO:0014032)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	SOX10
Non-Canonical Wnt Signaling Pathway (GO:0035567)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	DVL1
Release of Sequestered Calcium Ion Into Cytosol (GO:0051209)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	LETM1
Skeletal System Morphogenesis (GO:0048705)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	ANKRD11
Positive Regulation of Production of Molecular Mediator of Immune Response (GO:0002702)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	PHB2
Positive Regulation of Receptor-Mediated Endocytosis (GO:0048260)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	ANXA2
Import Into the Mitochondrion (GO:0170036)	1/43	0.39232239870857616	0.4932629815667004	0	0	2.050040355125101	1.9181639887694388	HSPA9
Response to Endoplasmic Reticulum Stress (GO:0034976)	3/196	0.392712841483519	0.49333078458855084	0	0	1.3397768035073734	1.2522580508268897	SYVN1;AUP1;P4HB
Positive Regulation of Cell Cycle Process (GO:0090068)	2/118	0.3945262058923263	0.4951844330806082	0	0	1.485399853264857	1.3815254148969673	RANBP1;AURKB
Negative Regulation of Organelle Organization (GO:0010639)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	SLC25A6
Negative Regulation of Protein Localization (GO:1903828)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	NACA
Regulation of Monoatomic Cation Transmembrane Transport (GO:1904062)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	GNB2
Amino Acid Transport (GO:0006865)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	SLC38A2
Positive Regulation of Cell Division (GO:0051781)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	HDGF
