gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC729468	0.6632	0.1777	1.0805	0.4869	NA
LOC729603	9.0811	0.6905	0.7768	0.1803	0.261
LOC729652	10.3371	0.5757	0.73	0.2581	0.3547
LOC729683	28.7747	0.0921	0.5115	0.832	0.8818
LOC729732	2.2121	-0.098	0.9883	0.7998	0.8579
LOC729737	4.8039	-0.9189	1.0481	0.0523	0.0878
LOC729739	0.9702	0.049	1.0433	0.8741	NA
LOC729770	34.9884	2.2524	0.6078	0	0
LOC729870	0.5859	-0.1232	1.0804	0.6152	NA
LOC729887	24.1003	1.0027	0.5802	0.0329	0.0578
LOC730101	137.7551	-0.3019	0.2764	0.253	0.3487
LOC730102	32.4478	0.0165	0.4921	0.9689	0.9789
LOC730183	8.0118	0.1676	0.7622	0.7387	0.8124
LOC730257	78.2761	1.5559	0.3752	0	0
LOC730268	23.8226	-2.114	0.7641	1e-04	4e-04
LOC730338	0.1944	-0.0388	1.081	0.8681	NA
LOC730668	1.3101	0.1596	1.0049	0.6675	NA
LOC80154	298.7324	-0.5348	0.1985	0.0058	0.0115
LOC81691	161.5644	0.0756	0.2495	0.7531	0.8234
LOC90246	13.5451	0.6416	0.6919	0.2034	0.2889
LOC90784	294.9975	-0.9846	0.2013	0	0
LOC90834	17.8134	2.9227	1.1224	0	1e-04
LOC91450	2.2682	-0.4365	1.0162	0.2736	0.3724
LOC92249	161.9365	0.5082	0.2582	0.0405	0.0696
LOC93432	9.8894	0.2627	0.7175	0.6012	0.6965
LOC93622	692.9949	1.3779	0.1332	0	0
LOH12CR1	103.6797	-0.3679	0.3137	0.2135	0.301
LOH12CR2	10.1721	0.9204	0.778	0.079	0.127
LONP1	5687.7245	0.5329	0.0734	0	0
LONP2	1587.8009	0.3556	0.0971	2e-04	6e-04
LONRF1	79.5914	-2.8819	0.4588	0	0
LONRF2	111.1154	-0.526	0.2984	0.063	0.1037
LONRF3	77.9987	-1.5724	0.3803	0	0
LOX	8.292	-0.6787	0.8219	0.186	0.268
LOXL1	1.219	-0.3643	1.057	0.2815	NA
LOXL1-AS1	0.761	-0.0281	1.0577	0.9206	NA
LOXL2	3431.4977	0.6517	0.0771	0	0
LOXL3	2666.9802	0.4294	0.08	0	0
LOXL4	988.1866	0.1491	0.1131	0.184	0.2657
LPAL2	4.3194	-0.3828	0.8868	0.4247	0.5326
LPAR1	126.4916	0.6007	0.2886	0.0286	0.0507
LPAR2	19.9706	-1.598	0.7146	0.0025	0.0053
LPAR3	313.1299	-1.0724	0.1977	0	0
LPAR4	25.1419	0.0064	0.5462	0.9886	0.9927
LPAR5	5.7896	-0.3142	0.8366	0.5244	0.6281
LPAR6	64.7259	1.0539	0.3856	0.0027	0.0057
LPCAT1	1950.2368	-0.8771	0.0894	0	0
LPCAT2	1816.3788	0.1574	0.0898	0.0784	0.1262
LPCAT3	711.6472	0.2596	0.1313	0.0458	0.0778
LPCAT4	701.9324	0.0978	0.1374	0.4716	0.5775
LPGAT1	2429.4118	0.6877	0.0897	0	0
LPHN1	656.4731	-0.0815	0.151	0.5844	0.6819
LPHN2	710.8157	-0.9476	0.1422	0	0
LPHN3	62.2772	-0.1934	0.3877	0.5848	0.6821
LPIN1	336.5555	-2.0398	0.2042	0	0
LPIN2	341.676	-3.2078	0.2264	0	0
LPIN3	22.2502	-1.8106	0.7013	6e-04	0.0014
LPL	81.0074	-0.6987	0.3492	0.0311	0.0548
LPP	506.4213	0.3908	0.1516	0.0089	0.0173
LPP-AS2	117.0105	1.3119	0.2994	0	0
LPPR1	0.2916	0.0956	1.0833	0.6832	NA
LPPR2	948.7363	0.9347	0.1331	0	0
LPPR3	2.1684	-0.0737	0.9503	0.8618	0.9045
LPPR5	0.8349	-0.2301	1.0634	0.4401	NA
LPXN	1481.9288	0.4177	0.0994	0	1e-04
LRAT	78.0726	-1.9648	0.3975	0	0
LRBA	113.5521	-0.1835	0.2958	0.5134	0.6187
LRCH1	223.9169	-1.7606	0.2334	0	0
LRCH2	81.7906	0.5822	0.3448	0.0696	0.1134
LRCH3	169.126	-2.0535	0.2776	0	0
LRCH4	437.0013	-1.825	0.188	0	0
LRFN1	201.5212	-1.092	0.2372	0	0
LRFN3	310.1483	-0.1494	0.1885	0.4183	0.5258
LRFN4	1708.9139	-0.1181	0.1006	0.2378	0.3306
LRFN5	1.7311	-0.3016	1.0168	0.4211	0.5288
LRG1	0.2876	0.0948	1.0833	0.6856	NA
LRGUK	1.6436	-0.118	0.9824	0.7645	0.8322
LRIF1	264.491	-1.6468	0.2135	0	0
LRIG1	102.2765	-0.2975	0.3175	0.3197	0.4227
LRIG2	119.6961	-0.5661	0.3125	0.0546	0.0915
LRIG3	662.9423	0.1689	0.1343	0.2037	0.2894
LRIT3	2.9773	0.3512	0.9322	0.4387	0.5461
LRP1	2462.1988	0.6318	0.112	0	0
LRP10	2588.4297	0.788	0.095	0	0
LRP11	553.4307	0.9456	0.1499	0	0
LRP12	684.6762	0.7998	0.1339	0	0
LRP1B	17.7113	0.7776	0.6369	0.1134	0.1751
LRP2BP	22.636	0.0225	0.6021	0.9623	0.9746
LRP3	155.8292	0.521	0.2557	0.0341	0.0596
LRP4	492.2639	0.8677	0.1559	0	0
LRP4-AS1	1.3404	-0.2017	1.0224	0.5688	NA
LRP5	2709.9713	0.8472	0.0963	0	0
LRP5L	13.935	-0.6326	0.6762	0.2066	0.2926
