gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MMADHC	2007.7904	0.2462	0.2129	0.2382	0.3548
MMD	137.232	-1.052	0.3582	0.0018	0.0053
MME	0.1999	-0.0338	1.1594	0.9002	NA
MMEL1	42.6278	-0.1809	0.5043	0.686	0.7833
MMGT1	752.3254	0.2258	0.2444	0.3429	0.4727
MMP1	119.8735	1.392	0.3667	1e-04	2e-04
MMP10	10.7072	0.9752	0.8605	0.0881	0.1568
MMP11	7.1359	0.5091	0.8749	0.3604	0.4913
MMP12	3.1523	0.2295	0.9815	0.6511	0.7546
MMP13	8.4137	0.0893	0.8165	0.8728	0.9196
MMP14	3179.5253	1.1127	0.2045	0	0
MMP15	477.5242	0.5982	0.2568	0.0165	0.0371
MMP16	1418.1954	0.69	0.2323	0.0024	0.0067
MMP17	534.651	0.567	0.3374	0.0771	0.14
MMP19	15.4732	-0.355	0.7291	0.5184	0.6418
MMP2	3421.8843	1.1932	0.2283	0	0
MMP21	0.322	0.1259	1.1627	0.6407	NA
MMP23A	1.4003	-0.2254	1.1595	0.4431	NA
MMP23B	2.3312	-0.5368	1.1416	0.174	0.2755
MMP24	20.6021	0.177	0.72	0.7463	0.83
MMP24-AS1	450.6184	0.9755	0.2833	4e-04	0.0012
MMP25	4.5264	0.0705	0.9346	0.8942	0.9336
MMP28	0.5889	0.107	1.1609	0.6937	NA
MMP3	4.2952	0.8625	1.0103	0.1092	0.1873
MMP7	0.1989	-0.0334	1.1594	0.9014	NA
MMP8	77.0425	0.5342	0.4241	0.1714	0.2722
MMP9	17.2362	0.7668	0.7924	0.1735	0.2747
MMRN1	1.3354	0.0255	1.1272	0.9397	NA
MMRN2	36.5438	0.5224	0.5899	0.2939	0.4192
MMS19	1498.2771	0.3634	0.2165	0.0867	0.1547
MMS22L	276.4789	-0.7214	0.2728	0.0063	0.0159
MN1	45.9603	1.85	0.5613	1e-04	4e-04
MNAT1	342.7093	0.4349	0.2858	0.1147	0.1951
MND1	115.1854	-1.3786	0.4226	4e-04	0.0013
MNS1	97.0643	-0.1212	0.391	0.7398	0.8262
MNT	404.9162	-0.2117	0.2662	0.4122	0.5427
MNX1	33.1065	-2.2853	0.81	1e-04	4e-04
MNX1-AS1	2.3528	-0.6178	1.1353	0.1418	0.2325
MOAP1	634.2271	1.7119	0.3061	0	0
MOB1A	962.4421	0.0981	0.2349	0.6688	0.7698
MOB1B	295.2525	-1.8076	0.4063	0	0
MOB2	163.6243	-2.4887	0.3672	0	0
MOB3A	181.2047	-2.7482	0.3759	0	0
MOB3B	4.721	-0.5154	1.0021	0.313	0.4406
MOB3C	196.4792	-1.4796	0.3598	0	1e-04
MOB4	619.0216	-0.1334	0.249	0.582	0.6979
MOCOS	1148.3153	0.0797	0.2046	0.6918	0.7877
MOCS1	205.7034	-1.0884	0.3028	2e-04	7e-04
MOCS2	1283.0387	0.537	0.24	0.0218	0.0473
MOCS3	3445.4926	3.0567	0.2657	0	0
MOGAT1	0.5736	0.076	1.1599	0.779	NA
