13	0.37 mins
14	0.63 mins
10	0.88 mins
15	0.95 mins
16	0.98 mins
12	1.25 mins
11	1.65 mins
1	3.38 mins
21	0.33 mins
18	0.35 mins
22	0.43 mins
20	0.48 mins
17	1.32 mins
19	1.33 mins
3	1.35 mins
2	1.90 mins
MT	0.33 mins
9	0.70 mins
4	0.80 mins
8	0.85 mins
X	0.87 mins
5	0.95 mins
6	1.08 mins
7	1.25 mins
Y	0.17 mins
