gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC6A8	3579.4366	-0.2451	0.1072	0.0019	0.0384
SLC6A9	171.7893	-0.1313	0.1592	0.0888	0.358
SLC7A1	4687.5742	0.2155	0.097	0.0038	0.0614
SLC7A11	418.4692	-0.0068	0.1239	0.9265	0.9774
SLC7A2	515.2441	-0.1071	0.1306	0.1662	0.4955
SLC7A3	2.6944	5e-04	0.1833	0.9771	NA
SLC7A4	2.0711	0.0033	0.1839	0.8327	NA
SLC7A5	41291.8424	0.3484	0.1025	0	8e-04
SLC7A5P1	39.0658	0.0029	0.1639	0.9543	NA
SLC7A5P2	38.794	-0.0608	0.1738	0.2558	NA
SLC7A6	1938.7693	0.0561	0.0939	0.4374	0.7513
SLC7A6OS	318.1023	0.0202	0.1237	0.7833	0.927
SLC7A7	2.1462	-0.0035	0.1838	0.8264	NA
SLC7A8	24.6717	0.0053	0.1694	0.9054	NA
SLC7A9	0.2548	-0.0022	0.1899	0.7604	NA
SLC8A1	61.3341	0.0374	0.1612	0.5118	NA
SLC8A2	0.2573	-0.0022	0.1899	0.7586	NA
SLC8B1	163.7933	-0.1767	0.1771	0.0331	0.2172
SLC9A1	948.247	-0.1309	0.1132	0.092	0.365
SLC9A3	1.632	0.0099	0.187	0.4042	NA
SLC9A3R1	1176.6294	-0.0397	0.1	0.5895	0.8428
SLC9A3R2	2760.8405	0.0598	0.1029	0.421	0.7423
SLC9A5	168.5029	-0.1531	0.1672	0.055	0.2833
SLC9A6	326.1692	-0.0284	0.1248	0.699	0.8926
SLC9A7	857.7826	0.0207	0.1085	0.7818	0.9262
SLC9A7P1	25.3872	-0.0276	0.1716	0.5401	NA
SLC9A8	566.3761	0.0444	0.1116	0.5537	0.8253
SLC9A9	6.4516	0.0104	0.1812	0.674	NA
SLC9B1	2.8596	-0.0017	0.1831	0.9249	NA
SLC9B2	285.9142	0.0291	0.1244	0.6916	0.8896
SLCO1A2	1.679	-0.006	0.1846	0.6684	NA
SLCO1B1	1.162	-0.0036	0.1854	0.7585	NA
SLCO2A1	0.587	0.0045	0.1902	0.5622	NA
SLCO3A1	332.2689	-0.1115	0.1314	0.1511	0.4739
SLCO4A1	1668.8226	-0.1779	0.105	0.0208	0.1685
SLCO4C1	13.7988	0.0205	0.1772	0.5632	NA
SLCO5A1	110.5621	-0.0175	0.1445	0.7893	0.9289
SLCO6A1	0.8139	-0.0025	0.1864	0.7991	NA
SLFN11	678.9475	-0.0309	0.1105	0.679	0.8855
SLFN12	245.7972	0.0756	0.1348	0.3078	0.6554
SLFN12L	1.8349	-0.0028	0.1841	0.8504	NA
SLFN13	17.4357	-0.0207	0.1749	0.5967	NA
SLFN5	443.7548	-0.1568	0.1479	0.0548	0.2831
SLFNL1	23.9608	0.0175	0.1709	0.6899	NA
SLFNL1-AS1	19.6603	0.0118	0.1729	0.7689	NA
SLIRP	1628.7638	0.0588	0.0995	0.4249	0.7446
SLIT1	2.5083	0.0143	0.1853	0.3696	NA
SLIT2	224.2474	-0.0412	0.131	0.5698	0.835
SLIT3	2.3909	0.0128	0.1854	0.3969	NA
SLITRK1	153.8326	-0.0711	0.1441	0.3182	0.665
SLITRK2	27.5194	-0.0457	0.1748	0.3329	NA
SLITRK3	1.1424	0.0066	0.1863	0.5559	NA
SLITRK4	19.448	0.0202	0.1752	0.5995	NA
SLITRK5	419.2554	-0.0692	0.1227	0.3588	0.6992
SLITRK6	1415.8416	0.4968	0.1608	0	7e-04
SLK	2006.8313	0.1026	0.1009	0.1688	0.4984
SLMAP	1409.0379	0.0324	0.1031	0.6624	0.8785
SLMO1	43.6912	-0.0345	0.1647	0.5197	NA
SLMO2	4383.1637	-0.0825	0.0967	0.2597	0.6057
SLMO2-ATP5E	507.5186	0.1149	0.1433	0.1358	0.4487
SLN	0.8143	-0.0023	0.1869	0.8033	NA
SLPI	0.2549	-0.0022	0.1899	0.763	NA
SLTM	2833.198	-0.0025	0.0895	0.9717	0.9907
SLU7	1719.6756	0.2089	0.112	0.0088	0.1
SLX1A	906.9479	-0.701	0.1628	0	0
SLX1A-SULT1A3	564.5628	0.2419	0.1457	0.0065	0.0834
SLX1B	885.0394	-0.7182	0.1485	0	0
SLX4	708.6239	-0.0261	0.1071	0.7265	0.9049
SLX4IP	28.4885	-0.0185	0.1681	0.6945	NA
SMA4	122.6293	-0.0794	0.1595	0.2363	0.5812
SMA5	27.2699	-0.0052	0.1677	0.9107	NA
SMAD1	274.7333	0.0369	0.1298	0.6108	0.8528
SMAD2	1245.4503	0.1076	0.108	0.1576	0.4833
SMAD3	2129.9351	0.1752	0.1002	0.0201	0.1654
SMAD4	1240.0569	0.1511	0.106	0.0488	0.2672
SMAD5	1357.1161	-0.0412	0.1093	0.5821	0.8391
SMAD5-AS1	3.6311	0.0049	0.1825	0.8049	NA
SMAD6	530.3349	0.4416	0.2085	2e-04	0.008
SMAD7	358.9091	0.2426	0.1728	0.0086	0.0988
SMAD9	45.28	0.0378	0.1641	0.4903	NA
SMAGP	466.2356	-0.0606	0.1158	0.4216	0.7427
SMAP1	456.4529	0.01	0.1144	0.8929	0.9674
SMAP2	1519.1426	-0.1245	0.1023	0.0981	0.3794
SMARCA1	1156.1061	-0.133	0.108	0.0831	0.3477
SMARCA2	1492.8042	-0.1292	0.1049	0.0891	0.3581
SMARCA4	10973.9359	0.1105	0.0881	0.1161	0.4171
SMARCA5	2217.3319	0.1033	0.0975	0.1605	0.4875
SMARCA5-AS1	279.7916	0.0843	0.1363	0.2589	0.6047
SMARCAD1	972.2554	0.0876	0.1142	0.2506	0.5972
SMARCAL1	330.1354	-0.0476	0.1224	0.5224	0.81
SMARCB1	2046.3513	0.0256	0.0992	0.727	0.9049
SMARCC1	5210.2014	-0.0051	0.0909	0.943	0.9817
SMARCC2	2269.4132	-0.1874	0.1014	0.0136	0.1308
SMARCD1	3826.9874	0.1183	0.0889	0.0944	0.3717
SMARCD2	2848.3488	-0.0815	0.094	0.26	0.6062
SMARCD3	91.6294	-0.0095	0.1476	0.8816	0.9647
SMARCE1	1923.0424	0.1056	0.095	0.1473	0.4665
SMC1A	5702.1424	0.0197	0.0886	0.7798	0.9257
SMC2	2126.0448	0.0211	0.0993	0.7732	0.9228
SMC3	2801.2409	0.2259	0.1082	0.0042	0.064
SMC4	4206.4641	-0.0594	0.0964	0.4149	0.7398
SMC5	1468.983	0.1796	0.1239	0.0275	0.1964
SMC5-AS1	1.6978	0.0072	0.1847	0.6171	NA
SMC6	735.1215	-0.2353	0.1347	0.0064	0.0832
SMCHD1	733.4926	0.0868	0.1186	0.2561	0.6022
SMCO3	0.2595	-0.0022	0.1899	0.7587	NA
SMCO4	81.6788	0.0253	0.1513	0.6834	0.8872
SMCR5	0.7059	-0.0026	0.1874	0.7693	NA
SMCR8	1729.6193	0.0636	0.0988	0.3869	0.7193
SMDT1	321.1059	-0.006	0.1238	0.9352	0.9804
SMEK1	1502.3575	0.125	0.1068	0.1015	0.3864
SMEK2	1749.188	-0.0133	0.0994	0.8563	0.9566
SMEK3P	54.9602	0.0376	0.1613	0.5095	NA
SMG1	2424.0539	0.1237	0.119	0.1134	0.4126
SMG1P1	151.1078	-0.0386	0.1417	0.5727	0.8363
SMG5	4962.9447	-0.0309	0.0879	0.6594	0.8768
SMG6	1069.9618	0.0562	0.1007	0.4468	0.7571
SMG7	4454.274	0.2194	0.1106	0.0058	0.0782
SMG7-AS1	15.5283	8e-04	0.174	0.9827	NA
SMG8	922.0543	0.0654	0.104	0.3811	0.7165
SMG9	1205.4965	-0.0296	0.1008	0.6883	0.8889
SMIM11	234.4647	-0.074	0.134	0.3185	0.665
SMIM12	1240.1359	0.1414	0.1056	0.0642	0.3047
SMIM13	651.6066	0.1003	0.1182	0.1928	0.5296
SMIM14	85.7479	-0.0562	0.1553	0.3823	0.717
SMIM15	1441.8694	-0.0059	0.0972	0.9359	0.9805
SMIM17	0.4891	-0.0041	0.1897	0.5991	NA
SMIM19	196.3588	-0.0193	0.1324	0.7859	0.9276
SMIM2	0.5571	2e-04	0.188	0.9817	NA
SMIM2-AS1	2.6622	9e-04	0.1831	0.9595	NA
SMIM20	420.1635	-0.0259	0.1183	0.7278	0.905
SMIM22	0.1968	0.0018	0.1897	0.798	NA
SMIM3	112.8308	-0.0066	0.1434	0.9199	0.9764
SMIM4	267.0732	-0.0315	0.1348	0.656	0.8759
SMIM5	19.0341	0.0379	0.1772	0.3617	NA
SMIM6	1.2381	-0.0087	0.1867	0.4568	NA
SMIM7	1661.7192	0.2493	0.1193	0.0027	0.0477
SMIM8	57.7659	-0.0966	0.1826	0.1117	NA
SMKR1	36.15	-0.0277	0.1668	0.5824	NA
SMN1	2343.526	0.1962	0.1021	0.0101	0.1094
SMN2	950.0125	0.05	0.1119	0.5053	0.7986
SMNDC1	1030.4496	0.4608	0.1586	0	0.0013
SMO	1028.1345	-0.0924	0.105	0.2197	0.5634
SMOC1	6.9973	0.0277	0.1834	0.2987	NA
SMOX	375.7545	-0.0641	0.1256	0.392	0.7225
SMPD1	584.5199	-0.1097	0.1227	0.1578	0.4833
SMPD2	136.5025	-0.1052	0.1583	0.1478	0.4673
SMPD3	43.8261	-0.0252	0.1634	0.6341	NA
SMPD4	2375.4384	0.092	0.0987	0.2129	0.5563
SMPDL3A	60.3321	0.0245	0.1566	0.6749	NA
SMPDL3B	5.7812	-0.0106	0.181	0.6735	NA
SMPX	0.5042	-0.0037	0.1907	0.6103	NA
SMS	8311.2994	0.097	0.0841	0.1575	0.4833
SMTN	1975.6793	-0.0438	0.0999	0.5521	0.8247
SMTNL1	0.8944	0.0075	0.1899	0.4079	NA
SMTNL2	0.2602	-0.0022	0.1899	0.758	NA
SMU1	2433.4758	-0.002	0.0911	0.9777	0.9923
SMUG1	957.7847	-0.1334	0.1079	0.0822	0.3455
SMURF1	2253.526	0.1601	0.0972	0.0308	0.2095
SMURF2	1299.0584	0.5228	0.143	0	1e-04
SMYD1	39.0075	-0.016	0.1637	0.7555	NA
SMYD2	1142.1051	-0.1622	0.1102	0.0377	0.2337
SMYD3	252.189	0.1057	0.1397	0.1664	0.4955
SMYD4	475.1378	-0.003	0.1162	0.9681	0.9897
SMYD5	1078.9359	0.0265	0.1005	0.7188	0.9013
SNAI1	507.1044	0.1465	0.1294	0.0679	0.311
SNAI2	38.1041	-0.045	0.1699	0.3845	NA
SNAI3	4.7793	-0.0082	0.1816	0.7219	NA
SNAI3-AS1	17.6754	0.0233	0.1751	0.5539	NA
SNAP23	1269.4664	-0.0197	0.101	0.7895	0.9289
SNAP25	18.0621	0.0043	0.1725	0.914	NA
SNAP25-AS1	0.7829	0.0066	0.1899	0.4501	NA
SNAP29	783.7245	0.0138	0.1046	0.8528	0.9555
SNAP47	872.1161	-0.0087	0.1046	0.9069	0.9723
SNAP91	1.9072	-0.002	0.184	0.8948	NA
SNAPC1	1538.4936	0.781	0.1216	0	0
SNAPC2	908.6239	0.0689	0.1123	0.3623	0.702
SNAPC3	1134.3237	0.034	0.1	0.6437	0.8696
SNAPC4	1674.4438	0.1795	0.1161	0.0247	0.1848
SNAPC5	112.4941	0.077	0.1551	0.2596	0.6057
SNAPIN	881.7261	0.1048	0.1103	0.1703	0.5002
SNCA	328.1925	-0.0145	0.1217	0.8438	0.9519
SNCAIP	2.9605	0.0038	0.1828	0.8391	NA
SNCB	0.4035	-3e-04	0.1893	0.9716	NA
SNCG	48.5512	-0.0627	0.1698	0.2721	NA
SND1	8383.2519	0.1514	0.0891	0.0328	0.2166
SND1-IT1	0.4511	-3e-04	0.1888	0.9714	NA
SNED1	219.1258	-0.1249	0.1477	0.1082	0.4023
SNF8	1707.9638	0.0827	0.1043	0.2697	0.6164
SNHG1	1513.5596	0.0077	0.0961	0.9154	0.9753
SNHG10	186.7036	0.0966	0.151	0.186	0.5224
SNHG11	160.7883	0.0512	0.1424	0.4609	0.7681
SNHG12	367.5632	-0.0444	0.1214	0.5509	0.8237
SNHG15	362.248	0.1212	0.1345	0.122	0.4257
SNHG16	4161.9942	-0.1313	0.0899	0.0651	0.306
