Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation of Gene Expression (GO:0010629)	2/363	0.09210872840630033	0.1481336250658026	0	0	4.14671180876167	9.889018481339221	DAXX;RNASEH1
Phosphatidylinositol Metabolic Process (GO:0046488)	1/69	0.09277941644150967	0.14844706630641546	0	0	10.767857142857142	25.600908447070264	MTMR3
Spermatid Development (GO:0007286)	1/70	0.09406092404688608	0.14972963419708396	0	0	10.611283643892339	25.083085751444038	YTHDC2
Telomere Maintenance (GO:0000723)	1/72	0.09661869799973412	0.15302047601988347	0	0	10.311368209255534	24.09749216454807	RUVBL2
DNA Replication (GO:0006260)	1/73	0.09789496891645465	0.1534835693564515	0	0	10.16765873015873	23.628216644840375	RNASEH1
Regulation of DNA Replication (GO:0006275)	1/73	0.09789496891645465	0.1534835693564515	0	0	10.16765873015873	23.628216644840375	RUVBL2
Plasma Membrane Organization (GO:0007009)	1/75	0.10044229012457094	0.15591042049187132	0	0	9.891891891891891	22.733268419334024	STX4
Positive Regulation of Protein Localization to Membrane (GO:1905477)	1/75	0.10044229012457094	0.15591042049187132	0	0	9.891891891891891	22.733268419334024	STX4
Nucleosome Organization (GO:0034728)	1/77	0.10298266574512092	0.15827877690875727	0	0	9.63063909774436	21.8923167785609	DAXX
Cellular Response to UV (GO:0034644)	1/77	0.10298266574512092	0.15827877690875727	0	0	9.63063909774436	21.8923167785609	RUVBL2
RNA Catabolic Process (GO:0006401)	1/79	0.10551611402298892	0.1598108134717114	0	0	9.382783882783883	21.100863841485573	RNASEH1
Response to Tumor Necrosis Factor (GO:0034612)	1/79	0.10551611402298892	0.1598108134717114	0	0	9.382783882783883	21.100863841485573	YTHDC2
Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	1/79	0.10551611402298892	0.1598108134717114	0	0	9.382783882783883	21.100863841485573	PBRM1
Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)	1/80	0.1067802460895255	0.16017036913428823	0	0	9.263562386980109	20.722425384311595	RUVBL2
Negative Regulation of Cellular Component Organization (GO:0051129)	1/80	0.1067802460895255	0.16017036913428823	0	0	9.263562386980109	20.722425384311595	HSF1
Regulation of Vesicle-Mediated Transport (GO:0060627)	1/82	0.1093033374949731	0.1631705325283809	0	0	9.033950617283951	19.99780919067782	STX4
Protein Tetramerization (GO:0051262)	1/83	0.11056230136105441	0.16426399059356656	0	0	8.923344947735192	19.650777008841384	HSD17B10
Macromolecule Modification (GO:0043412)	1/84	0.11181954700275498	0.16456461634367714	0	0	8.81540447504303	19.31339545699164	RABGGTB
Positive Regulation of Synaptic Transmission (GO:0050806)	1/84	0.11181954700275498	0.16456461634367714	0	0	8.81540447504303	19.31339545699164	STX4
Regulation of Organelle Assembly (GO:1902115)	1/85	0.11307507671909518	0.16563109829275915	0	0	8.710034013605442	18.985289753125887	MTMR3
T Cell Receptor Signaling Pathway (GO:0050852)	1/88	0.11683139272452679	0.1695413699072203	0	0	8.408456486042693	18.053153433566177	CD8A
Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990)	1/88	0.11683139272452679	0.1695413699072203	0	0	8.408456486042693	18.053153433566177	PBRM1
Protein Dephosphorylation (GO:0006470)	1/89	0.11808008120367516	0.16977412597026106	0	0	8.3125	17.758760415446968	MTMR3
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	1/89	0.11808008120367516	0.16977412597026106	0	0	8.3125	17.758760415446968	DMAC2
Regulation of Protein Localization to Plasma Membrane (GO:1903076)	1/90	0.11932706499500732	0.17078001962588205	0	0	8.218699839486357	17.472028054687108	STX4
Phosphatidylinositol Biosynthetic Process (GO:0006661)	1/91	0.12057234635520964	0.1712007629611654	0	0	8.126984126984127	17.192678168540837	MTMR3
Positive Regulation of Response to Stimulus (GO:0048584)	1/92	0.12181592749159846	0.1712007629611654	0	0	8.037284144427002	16.920445544871882	RUVBL2
Sensory Perception of Mechanical Stimulus (GO:0050954)	1/92	0.12181592749159846	0.1712007629611654	0	0	8.037284144427002	16.920445544871882	STX4
Positive Regulation of Cell Adhesion (GO:0045785)	1/92	0.12181592749159846	0.1712007629611654	0	0	8.037284144427002	16.920445544871882	STX4
Positive Regulation of Phosphorylation (GO:0042327)	1/93	0.123057810678745	0.17217056920075532	0	0	7.949534161490683	16.655077197910256	DAXX
Positive Regulation of Immune Response (GO:0050778)	1/95	0.12553649210923118	0.174854399723572	0	0	7.779635258358662	16.143978480804254	STX4
Sensory Perception of Sound (GO:0007605)	1/96	0.1267732948452055	0.17579230218535163	0	0	7.697368421052632	15.897797336411672	STX4
Regulation of Organelle Organization (GO:0033043)	1/97	0.12800840851257222	0.17635851895407934	0	0	7.616815476190476	15.657577765886181	RUVBL2
rRNA Metabolic Process (GO:0016072)	1/98	0.1292418353714827	0.17635851895407934	0	0	7.537923416789396	15.423118489458776	RPS17
Positive Regulation of Protein Modification Process (GO:0031401)	1/98	0.1292418353714827	0.17635851895407934	0	0	7.537923416789396	15.423118489458776	DAXX
Positive Regulation of Cold-Induced Thermogenesis (GO:0120162)	1/99	0.13047357765594306	0.17635851895407934	0	0	7.460641399416909	15.194226953341355	HSF1
Cellular Response to Chemical Stress (GO:0062197)	1/100	0.13170363755224515	0.17635851895407934	0	0	7.384920634920635	14.970718869912933	STX4
Visual Perception (GO:0007601)	1/100	0.13170363755224515	0.17635851895407934	0	0	7.384920634920635	14.970718869912933	RABGGTB
Response to UV (GO:0009411)	1/100	0.13170363755224515	0.17635851895407934	0	0	7.384920634920635	14.970718869912933	RUVBL2
Sensory Perception of Light Stimulus (GO:0050953)	1/100	0.13170363755224515	0.17635851895407934	0	0	7.384920634920635	14.970718869912933	RABGGTB
mRNA Metabolic Process (GO:0016071)	1/101	0.13293201730206125	0.17648846552443875	0	0	7.310714285714286	14.752417779573149	RNASEH1
Positive Regulation of Protein Localization (GO:1903829)	1/101	0.13293201730206125	0.17648846552443875	0	0	7.310714285714286	14.752417779573149	STX4
Dephosphorylation (GO:0016311)	1/105	0.1378287789396496	0.18221431792021472	0	0	7.02815934065934	13.92800625439685	MTMR3
Regulation of RNA Biosynthetic Process (GO:2001141)	2/465	0.13874155360129736	0.1822824487625236	0	0	3.216862650987921	6.353761827089119	DAXX;RUVBL2
Steroid Metabolic Process (GO:0008202)	1/106	0.1390487910432071	0.1822824487625236	0	0	6.960884353741497	13.733340301868324	HSD17B10
