Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA-templated Transcription Elongation (GO:0006354)	1/29	0.04546143687895697	0.12359100684625222	0	0	22.921875	70.84901378287059	POLR2E
Regulation of Supramolecular Fiber Organization (GO:1902903)	1/29	0.04546143687895697	0.12359100684625222	0	0	22.921875	70.84901378287059	ARL2
Fc-gamma Receptor Signaling Pathway (GO:0038094)	1/29	0.04546143687895697	0.12359100684625222	0	0	22.921875	70.84901378287059	PLD2
Regulation of Androgen Receptor Signaling Pathway (GO:0060765)	1/29	0.04546143687895697	0.12359100684625222	0	0	22.921875	70.84901378287059	NCOR2
Positive Regulation of Microtubule Polymerization (GO:0031116)	1/30	0.04699277826853697	0.12359100684625222	0	0	22.130387931034484	67.66944471976011	ARL2
Vesicle Coating (GO:0006901)	1/30	0.04699277826853697	0.12359100684625222	0	0	22.130387931034484	67.66944471976011	TRAPPC3
Heterotypic Cell-Cell Adhesion (GO:0034113)	1/30	0.04699277826853697	0.12359100684625222	0	0	22.130387931034484	67.66944471976011	PARVA
Negative Regulation of Response to Endoplasmic Reticulum Stress (GO:1903573)	1/30	0.04699277826853697	0.12359100684625222	0	0	22.130387931034484	67.66944471976011	SYVN1
Regulation of Stress-Activated MAPK Cascade (GO:0032872)	1/31	0.04852173736846745	0.12389530997967904	0	0	21.391666666666666	64.72569398102003	QARS1
Negative Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)	1/31	0.04852173736846745	0.12389530997967904	0	0	21.391666666666666	64.72569398102003	NCOR2
Phosphatidic Acid Biosynthetic Process (GO:0006654)	1/31	0.04852173736846745	0.12389530997967904	0	0	21.391666666666666	64.72569398102003	PLD2
Transcription by RNA Polymerase III (GO:0006383)	1/33	0.05157252305472824	0.12617464095437672	0	0	20.052734375	59.451670040308585	POLR2E
intra-Golgi Vesicle-Mediated Transport (GO:0006891)	1/33	0.05157252305472824	0.12617464095437672	0	0	20.052734375	59.451670040308585	TRAPPC3
Calcium Ion Import (GO:0070509)	1/34	0.05309435679436456	0.12617464095437672	0	0	19.44412878787879	57.08183005433306	TRPM2
Synaptic Vesicle Recycling (GO:0036465)	1/34	0.05309435679436456	0.12617464095437672	0	0	19.44412878787879	57.08183005433306	PLD2
Substrate Adhesion-Dependent Cell Spreading (GO:0034446)	1/34	0.05309435679436456	0.12617464095437672	0	0	19.44412878787879	57.08183005433306	PARVA
Regulation of Protein Polymerization (GO:0032271)	1/34	0.05309435679436456	0.12617464095437672	0	0	19.44412878787879	57.08183005433306	ARL2
Positive Regulation of Mitotic Nuclear Division (GO:0045840)	1/35	0.054613822560995035	0.12617464095437672	0	0	18.871323529411764	54.8677743334012	ESPL1
Cellular Response to Hydrogen Peroxide (GO:0070301)	1/35	0.054613822560995035	0.12617464095437672	0	0	18.871323529411764	54.8677743334012	TRPM2
tRNA Aminoacylation for Protein Translation (GO:0006418)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	QARS1
Establishment of Mitotic Spindle Localization (GO:0040001)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	ESPL1
Negative Regulation of Hydrolase Activity (GO:0051346)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	ARL2
Phosphatidic Acid Metabolic Process (GO:0046473)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	PLD2
Sister Chromatid Segregation (GO:0000819)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	ESPL1
Negative Regulation of Cell Cycle Process (GO:0010948)	1/36	0.05613092392266949	0.12617464095437672	0	0	18.33125	52.79525366971582	ESPL1
COPII-coated Vesicle Budding (GO:0090114)	1/38	0.059158047675295374	0.1307442566269133	0	0	17.33868243243243	49.025863941423346	TRAPPC3
Purine Nucleotide Metabolic Process (GO:0006163)	1/38	0.059158047675295374	0.1307442566269133	0	0	17.33868243243243	49.025863941423346	HPRT1
Regulation of Filopodium Assembly (GO:0051489)	1/40	0.06217575648681517	0.13403462259042942	0	0	16.447916666666668	45.68886044922732	TRPM2
Negative Regulation of Sequestering of Calcium Ion (GO:0051283)	1/40	0.06217575648681517	0.13403462259042942	0	0	16.447916666666668	45.68886044922732	TRPM2
Regulation of Apoptotic Signaling Pathway (GO:2001233)	1/40	0.06217575648681517	0.13403462259042942	0	0	16.447916666666668	45.68886044922732	QARS1
Regulation of Glycolytic Process (GO:0006110)	1/42	0.06518407869381035	0.13595413675275028	0	0	15.644054878048781	42.71671810234117	ARL2
Response to Hydrogen Peroxide (GO:0042542)	1/42	0.06518407869381035	0.13595413675275028	0	0	15.644054878048781	42.71671810234117	TRPM2
Ribosome Assembly (GO:0042255)	1/42	0.06518407869381035	0.13595413675275028	0	0	15.644054878048781	42.71671810234117	EIF5B
Lipid Catabolic Process (GO:0016042)	1/42	0.06518407869381035	0.13595413675275028	0	0	15.644054878048781	42.71671810234117	PLD2
Release of Sequestered Calcium Ion Into Cytosol (GO:0051209)	1/43	0.06668472867340222	0.13595413675275028	0	0	15.270833333333334	41.350046511276	TRPM2
RNA Transport (GO:0050658)	1/43	0.06668472867340222	0.13595413675275028	0	0	15.270833333333334	41.350046511276	DDX39A
Neutrophil Chemotaxis (GO:0030593)	1/43	0.06668472867340222	0.13595413675275028	0	0	15.270833333333334	41.350046511276	CXCR1
Regulation of Microtubule-Based Process (GO:0032886)	1/44	0.06818304259104728	0.13793954001111872	0	0	14.914970930232558	40.05504019462388	CCNL1
Synaptic Vesicle Cycle (GO:0099504)	1/45	0.06967902397493854	0.13865491763806476	0	0	14.575284090909092	38.82645730366564	PLD2
Purine Ribonucleotide Biosynthetic Process (GO:0009152)	1/45	0.06967902397493854	0.13865491763806476	0	0	14.575284090909092	38.82645730366564	ADSS2
Regulation of Transport (GO:0051049)	1/46	0.07117267635413971	0.13865491763806476	0	0	14.250694444444445	37.65954485041431	PLD2
Mononuclear Cell Differentiation (GO:1903131)	1/46	0.07117267635413971	0.13865491763806476	0	0	14.250694444444445	37.65954485041431	TRPM2
Regulation of Cell-Substrate Adhesion (GO:0010810)	1/46	0.07117267635413971	0.13865491763806476	0	0	14.250694444444445	37.65954485041431	ARL2
Mitotic Nuclear Division (GO:0140014)	1/47	0.07266400321909987	0.1394936704133085	0	0	13.940217391304348	36.549983649477824	ESPL1
Bicellular Tight Junction Assembly (GO:0070830)	1/47	0.07266400321909987	0.1394936704133085	0	0	13.940217391304348	36.549983649477824	ARL2
Negative Regulation of Response to Biotic Stimulus (GO:0002832)	1/48	0.07415300808249287	0.1413205878673596	0	0	13.642952127659575	35.49384046798983	DDX39A
Negative Regulation of DNA-templated Transcription (GO:0045892)	4/1006	0.07537107178870653	0.1426085746793512	0	0	2.6930965654897103	6.962548031976593	HEXIM1;NCOR2;QARS1;GTF2IRD1
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1/50	0.07712406583008562	0.14284245995290504	0	0	13.084821428571429	33.52776015175628	ESPL1
Neutrophil Migration (GO:1990266)	1/50	0.07712406583008562	0.14284245995290504	0	0	13.084821428571429	33.52776015175628	CXCR1
Nuclear Export (GO:0051168)	1/50	0.07712406583008562	0.14284245995290504	0	0	13.084821428571429	33.52776015175628	DDX39A
Inorganic Anion Transport (GO:0015698)	1/51	0.07860612569455269	0.14456930809557594	0	0	12.8225	32.611536665563115	XPR1
B Cell Differentiation (GO:0030183)	1/53	0.08156332483913943	0.14756160736624244	0	0	12.328125	30.898911305980764	SYVN1
Regulation of Microtubule Polymerization (GO:0031113)	1/53	0.08156332483913943	0.14756160736624244	0	0	12.328125	30.898911305980764	ARL2
Regulation of Signal Transduction by P53 Class Mediator (GO:1901796)	1/54	0.083038471065414	0.14756160736624244	0	0	12.09492924528302	30.09764206226477	HEXIM1
Tight Junction Assembly (GO:0120192)	1/54	0.083038471065414	0.14756160736624244	0	0	12.09492924528302	30.09764206226477	ARL2
Apical Junction Assembly (GO:0043297)	1/54	0.083038471065414	0.14756160736624244	0	0	12.09492924528302	30.09764206226477	ARL2
Regulation of Metabolic Process (GO:0019222)	1/55	0.08451131970533353	0.14917098713089072	0	0	11.87037037037037	29.3301395748981	NCOR2
Receptor Internalization (GO:0031623)	1/56	0.08598187420809822	0.1507548861115322	0	0	11.653977272727273	28.59441738110696	CXCR1
Negative Regulation of Innate Immune Response (GO:0045824)	1/57	0.0874501380432613	0.15131175200906397	0	0	11.4453125	27.888638445351052	DDX39A
Sprouting Angiogenesis (GO:0002040)	1/57	0.0874501380432613	0.15131175200906397	0	0	11.4453125	27.888638445351052	PARVA
